path,sha256,bytes,source_url,accession,downloaded_on,downloaded_by,workstream,notes
data/raw/lee/GSE132465_GEO_processed_CRC_10X_cell_annotation.txt.gz,4bf2ebdadc88da53b0c46e654a6576e841925addc25c981d7cdbc0d988b4677c,434022,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132465/suppl/GSE132465_GEO_processed_CRC_10X_cell_annotation.txt.gz,GSE132465,2026-08-15,W4,SMC cohort per-cell annotation: Patient/Class/Sample/Cell_type/Cell_subtype,
data/raw/lee/GSE132465_GEO_processed_CRC_10X_raw_UMI_count_matrix.txt.gz,deff856c7fe1d2c845af5b31e1c65a1dd95ea29541772a66c89bda3aaa8c0666,128941455,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132465/suppl/GSE132465_GEO_processed_CRC_10X_raw_UMI_count_matrix.txt.gz,GSE132465,2026-08-15,W4,SMC cohort raw UMI counts genes x cells; verified integer (not normalised) before recording,
data/raw/lee/GSE144735_processed_KUL3_CRC_10X_annotation.txt.gz,4eb9da239bef95b9003c0f6d0eeb41c6598ecc794cd25f57ad06d9bad81e881b,194418,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144735/suppl/GSE144735_processed_KUL3_CRC_10X_annotation.txt.gz,GSE144735,2026-08-15,W4,KUL3 cohort per-cell annotation,
data/raw/lee/GSE144735_processed_KUL3_CRC_10X_raw_UMI_count_matrix.txt.gz,046cbbd6c7501a4ddbca6d09fc0bb923e62d4d9421d5781efdeacb2c0a5b3b31,56598691,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144735/suppl/GSE144735_processed_KUL3_CRC_10X_raw_UMI_count_matrix.txt.gz,GSE144735,2026-08-15,W4,KUL3 cohort raw UMI counts genes x cells; verified integer (not normalised) before recording,
data/raw/tcga/star/TCGA-3L-AA1B-01A-11R-A37K-07.rna_seq.augmented_star_gene_counts.tsv,0b3b5d6ce4852ad2cbc2d49e7075badd9a1610c86f1eb0dbe51385fbf4d49fa8,4240799,https://api.gdc.cancer.gov/data/33b4cb11-fada-4d2b-b7ce-61077f94f0e9,TCGA-COAD:TCGA-3L-AA1B-01A-11R-A37K-07,2026-08-17,jeremy749,W3,"STAR - Counts, GENCODE v36"
data/raw/tcga/star/TCGA-4N-A93T-01A-11R-A37K-07.rna_seq.augmented_star_gene_counts.tsv,6d394de5ededa6ac7b9185f3fcba027107c3d600cd084413a1f4fbbce789de06,4231934,https://api.gdc.cancer.gov/data/3c18b7f5-f53e-4721-a470-ae4410c0592b,TCGA-COAD:TCGA-4N-A93T-01A-11R-A37K-07,2026-08-17,jeremy749,W3,"STAR - Counts, GENCODE v36"
data/raw/tcga/star/TCGA-4T-AA8H-01A-11R-A41B-07.rna_seq.augmented_star_gene_counts.tsv,2c933a3413ce6232cb8eb0a91c9dc97504686987e0beeb679c1c1b04246e2c7a,4214425,https://api.gdc.cancer.gov/data/7284b6cc-f8bd-4e96-8638-90310fa5b8b8,TCGA-COAD:TCGA-4T-AA8H-01A-11R-A41B-07,2026-08-17,jeremy749,W3,"STAR - Counts, GENCODE v36"
data/raw/tcga/star/TCGA-5M-AAT4-01A-11R-A41B-07.rna_seq.augmented_star_gene_counts.tsv,9e47c8e9c20e953cd27401508aa4ba76c5d2a130ebfd02e532fe58016bd0b57f,4233450,https://api.gdc.cancer.gov/data/f0454026-bc1e-4f6b-ba65-645a1a126298,TCGA-COAD:TCGA-5M-AAT4-01A-11R-A41B-07,2026-08-17,jeremy749,W3,"STAR - Counts, GENCODE v36"
data/raw/tcga/star/TCGA-5M-AAT5-01A-21R-A41B-07.rna_seq.augmented_star_gene_counts.tsv,5b3f57686a07384f38e030071d3c0cde8605ecb5f9d6254d69fbb63275b93f00,4228148,https://api.gdc.cancer.gov/data/65fac9c4-d88b-4bd2-acc6-6707542bb716,TCGA-COAD:TCGA-5M-AAT5-01A-21R-A41B-07,2026-08-17,jeremy749,W3,"STAR - Counts, GENCODE v36"
data/raw/tcga/star/TCGA-5M-AAT6-01A-11R-A41B-07.rna_seq.augmented_star_gene_counts.tsv,e94bb91ce3b9ab5cede499ab5593c5ccdaa07191fc515e3eae76cbf5daa29d10,4226540,https://api.gdc.cancer.gov/data/dde6631e-ef66-4db4-a7cb-be94f4b9c4fd,TCGA-COAD:TCGA-5M-AAT6-01A-11R-A41B-07,2026-08-17,jeremy749,W3,"STAR - Counts, GENCODE v36"
