shift,estimator,target_population,n_trial,trial_mix,estimate_median,po_trial_median,gap_vs_po_trial,bias_vs_po_trial,max_residual_vs_obs_pooled,equality_flagged_vs_obs_pooled,mcid,estimate_clears_mcid,truth_clears_mcid,decision_flips
0.0,att-standardisation,enrolled,1600,"(0.55, 0.3, 0.15)",2.139024912538981,2.1388068812708463,0.00021803126813457752,-0.0008950679710451493,0.07934285388052098,False,1.5,True,True,False
0.0,att-ipw,enrolled,1600,"(0.55, 0.3, 0.15)",2.1390249125389813,2.1388068812708463,0.0002180312681350216,-0.0008950679710450004,0.07934285388052142,False,1.5,True,True,False
0.0,att-matching-all,enrolled,1600,"(0.55, 0.3, 0.15)",2.1390249125389804,2.1388068812708463,0.00021803126813413343,-0.0008950679710451481,0.07934285388052098,False,1.5,True,True,False
0.0,ate-standardisation,pooled,1600,"(0.55, 0.3, 0.15)",2.134591797792908,2.1388068812708463,-0.004215083477938197,-0.0017175184713944535,0.0,True,1.5,True,True,False
0.0,ate-ipw,pooled,1600,"(0.55, 0.3, 0.15)",2.1345917977929085,2.1388068812708463,-0.004215083477937753,-0.001717518471394419,5.773159728050814e-15,True,1.5,True,True,False
0.0,ate-ipw-logistic,pooled,1600,"(0.55, 0.3, 0.15)",2.1345917977927815,2.1388068812708463,-0.004215083478064763,-0.0017175184713935131,2.291500322826323e-13,True,1.5,True,True,False
0.0,ols-stratum-dummies,variance-weighted,1600,"(0.55, 0.3, 0.15)",2.136525878171552,2.1388068812708463,-0.002281003099294132,-0.0009038776459973452,0.04973292154303621,False,1.5,True,True,False
0.0,unadjusted,none,1600,"(0.55, 0.3, 0.15)",2.1405124073494033,2.1388068812708463,0.001705526078557007,0.0023558274452290173,0.3488255712363175,False,1.5,True,True,False
0.25,att-standardisation,enrolled,1600,"(0.45, 0.2875, 0.2625)",1.8526780441590684,1.8586270810746035,-0.005949036915535055,-0.0030632084883965905,0.3118930789286807,False,1.5,True,True,False
0.25,att-ipw,enrolled,1600,"(0.45, 0.2875, 0.2625)",1.8526780441590702,1.8586270810746035,-0.005949036915533279,-0.0030632084883964426,0.31189307892868046,False,1.5,True,True,False
0.25,att-matching-all,enrolled,1600,"(0.45, 0.2875, 0.2625)",1.8526780441590684,1.8586270810746035,-0.005949036915535055,-0.0030632084883965814,0.3118930789286809,False,1.5,True,True,False
0.25,ate-standardisation,pooled,1600,"(0.45, 0.2875, 0.2625)",2.070563896617914,1.8586270810746035,0.21193681554331056,0.2166786660834589,0.0,True,1.5,True,True,False
0.25,ate-ipw,pooled,1600,"(0.45, 0.2875, 0.2625)",2.070563896617913,1.8586270810746035,0.21193681554330968,0.2166786660834591,5.551115123125783e-15,True,1.5,True,True,False
0.25,ate-ipw-logistic,pooled,1600,"(0.45, 0.2875, 0.2625)",2.0705638966178705,1.8586270810746035,0.21193681554326704,0.21667866608344943,2.327027459614328e-13,True,1.5,True,True,False
0.25,ols-stratum-dummies,variance-weighted,1600,"(0.45, 0.2875, 0.2625)",1.94461579214723,1.8586270810746035,0.08598871107262651,0.08997296645932021,0.17494470766930248,False,1.5,True,True,False
0.25,unadjusted,none,1600,"(0.45, 0.2875, 0.2625)",1.0030478788789736,1.8586270810746035,-0.8555792021956299,-0.8704292545622921,1.4860954627092409,False,1.5,False,True,True
0.5,att-standardisation,enrolled,1600,"(0.35, 0.275, 0.375)",1.5680743686253025,1.5678049520228472,0.00026941660245527466,-0.00322267334106939,0.5569433789071301,False,1.5,True,True,False
0.5,att-ipw,enrolled,1600,"(0.35, 0.275, 0.375)",1.5680743686253025,1.5678049520228472,0.00026941660245527466,-0.003222673341069481,0.5569433789071301,False,1.5,True,True,False
0.5,att-matching-all,enrolled,1600,"(0.35, 0.275, 0.375)",1.5680743686253025,1.5678049520228472,0.00026941660245527466,-0.003222673341069402,0.5569433789071301,False,1.5,True,True,False
0.5,ate-standardisation,pooled,1600,"(0.35, 0.275, 0.375)",2.0029537206133647,1.5678049520228472,0.43514876859051754,0.43195445751899675,0.0,True,1.5,True,True,False
0.5,ate-ipw,pooled,1600,"(0.35, 0.275, 0.375)",2.0029537206133643,1.5678049520228472,0.4351487685905171,0.43195445751899686,5.773159728050814e-15,True,1.5,True,True,False
0.5,ate-ipw-logistic,pooled,1600,"(0.35, 0.275, 0.375)",2.002953720613424,1.5678049520228472,0.4351487685905766,0.4319544575189975,2.9309887850104133e-13,True,1.5,True,True,False
0.5,ols-stratum-dummies,variance-weighted,1600,"(0.35, 0.275, 0.375)",1.7642850636006844,1.5678049520228472,0.19648011157783718,0.19604433599643958,0.3027920355608247,False,1.5,True,True,False
0.5,unadjusted,none,1600,"(0.35, 0.275, 0.375)",-0.1572851179213295,1.5678049520228472,-1.7250900699441767,-1.7230424908897368,2.520931679526217,False,1.5,False,True,True
0.75,att-standardisation,enrolled,1600,"(0.25, 0.2625, 0.4875)",1.2849302626696084,1.2882152881765996,-0.0032850255069911682,0.0014287724869590213,0.8081879309508884,False,1.5,False,False,False
0.75,att-ipw,enrolled,1600,"(0.25, 0.2625, 0.4875)",1.2849302626696089,1.2882152881765996,-0.003285025506990724,0.0014287724869590911,0.8081879309508873,False,1.5,False,False,False
0.75,att-matching-all,enrolled,1600,"(0.25, 0.2625, 0.4875)",1.2849302626696084,1.2882152881765996,-0.0032850255069911682,0.0014287724869590152,0.8081879309508886,False,1.5,False,False,False
0.75,ate-standardisation,pooled,1600,"(0.25, 0.2625, 0.4875)",1.9527995806601675,1.2882152881765996,0.6645842924835679,0.6605735546849139,0.0,True,1.5,True,False,True
0.75,ate-ipw,pooled,1600,"(0.25, 0.2625, 0.4875)",1.952799580660166,1.2882152881765996,0.6645842924835663,0.660573554684914,5.329070518200751e-15,True,1.5,True,False,True
0.75,ate-ipw-logistic,pooled,1600,"(0.25, 0.2625, 0.4875)",1.952799580659999,1.2882152881765996,0.6645842924833993,0.660573554684913,3.40394379350073e-13,True,1.5,True,False,True
0.75,ols-stratum-dummies,variance-weighted,1600,"(0.25, 0.2625, 0.4875)",1.57905603878053,1.2882152881765996,0.29084075060393033,0.2967369190016291,0.4551719850418221,False,1.5,True,False,True
0.75,unadjusted,none,1600,"(0.25, 0.2625, 0.4875)",-1.269984513951866,1.2882152881765996,-2.5581998021284655,-2.571105076744841,3.5227388802594937,False,1.5,False,False,False
1.0,att-standardisation,enrolled,1600,"(0.15, 0.25, 0.6)",1.020380908368395,1.0026838847249095,0.017697023643485466,0.01280219426713669,1.1113500479366127,False,1.5,False,False,False
1.0,att-ipw,enrolled,1600,"(0.15, 0.25, 0.6)",1.0203809083683963,1.0026838847249095,0.017697023643486798,0.012802194267136737,1.1113500479366145,False,1.5,False,False,False
1.0,att-matching-all,enrolled,1600,"(0.15, 0.25, 0.6)",1.020380908368395,1.0026838847249095,0.017697023643485466,0.012802194267136696,1.1113500479366127,False,1.5,False,False,False
1.0,ate-standardisation,pooled,1600,"(0.15, 0.25, 0.6)",1.8899759663917588,1.0026838847249095,0.8872920816668493,0.8846581617949841,0.0,True,1.5,True,False,True
1.0,ate-ipw,pooled,1600,"(0.15, 0.25, 0.6)",1.8899759663917592,1.0026838847249095,0.8872920816668497,0.884658161794984,4.6629367034256575e-15,True,1.5,True,False,True
1.0,ate-ipw-logistic,pooled,1600,"(0.15, 0.25, 0.6)",1.8899759663916011,1.0026838847249095,0.8872920816666916,0.8846581617949663,5.373479439185758e-13,True,1.5,True,False,True
1.0,ols-stratum-dummies,variance-weighted,1600,"(0.15, 0.25, 0.6)",1.3685184178773833,1.0026838847249095,0.3658345331524737,0.3590677607044837,0.6889945801007531,False,1.5,False,False,False
1.0,unadjusted,none,1600,"(0.15, 0.25, 0.6)",-2.423811437731138,1.0026838847249095,-3.4264953224560477,-3.437147769648437,4.72042512847522,False,1.5,False,False,False
