cohort,pool,n_cells_mature,family,design,n_replicates,n_scored,n_pool_undefined,n_normal,n_tumour,median_ci_width,pool_mean,pool_var,pool_skew,pool_form,skew_matched,closed_form_floor,null_rejection,null_rejection_mcse,interval_object
kul3,pooled,50,empirical,balanced,2000.0,2000,0.0,50.0,50.0,6.112399999999999,4.274202091856987,799.5770954412918,11.360148575821588,empirical,True,0.05522162163915023,0.1145,0.007120033356663436,within_patient_over_cells
kul3,pooled,50,empirical,fixed_fraction,2000.0,2000,0.0,800.0,50.0,3.295781249999999,4.274202091856987,799.5770954412918,11.360148575821588,empirical,True,0.05731709191200631,0.318,0.010413356807485279,within_patient_over_cells
kul3,pooled,50,gaussian_matched,balanced,2000.0,2000,0.0,50.0,50.0,8.860377860261984,4.274202091856987,799.5770954412918,0.0,normal,True,0.05522162163915023,0.052,0.004964675215963275,within_patient_over_cells
kul3,pooled,50,gaussian_matched,fixed_fraction,2000.0,2000,0.0,800.0,50.0,6.414518504542196,4.274202091856987,799.5770954412918,0.0,normal,True,0.05731709191200631,0.0545,0.005075911248239078,within_patient_over_cells
kul3,pooled,50,skew_matched_no_zeros,balanced,2000.0,2000,0.0,50.0,50.0,5.008374903755836,4.274202091856987,496.14542140737956,10.608410166730712,gamma_mean_skew,False,0.05522162163915023,0.1065,0.006897744196474671,within_patient_over_cells
kul3,pooled,50,skew_matched_no_zeros,fixed_fraction,2000.0,2000,0.0,800.0,50.0,3.073207986705409,4.274202091856987,496.14542140737956,10.608410166730712,gamma_mean_skew,False,0.05731709191200631,0.21,0.00910768905925098,within_patient_over_cells
kul3,pooled,50,zeros_removed_mean_matched,balanced,2000.0,2000,0.0,50.0,50.0,3.287651452282157,4.274202091856987,161.24161542123016,5.175300947174081,empirical_positive_rescaled,False,0.05522162163915023,0.0955,0.006571900410079264,within_patient_over_cells
kul3,pooled,50,zeros_removed_mean_matched,fixed_fraction,2000.0,2000,0.0,800.0,50.0,2.29734304161717,4.274202091856987,161.24161542123016,5.175300947174081,empirical_positive_rescaled,False,0.05731709191200631,0.1265,0.007432958697584697,within_patient_over_cells
kul3,pooled,800,empirical,balanced,2000.0,2000,0.0,800.0,800.0,2.1584812499999995,4.231502149341706,792.5267161565577,11.518492805722357,empirical,True,0.050317108261815645,0.064,0.005472842040475863,within_patient_over_cells
kul3,pooled,800,empirical,fixed_fraction,2000.0,2000,0.0,800.0,800.0,2.1584812499999995,4.231502149341706,792.5267161565577,11.518492805722357,empirical,True,0.050317108261815645,0.064,0.005472842040475863,within_patient_over_cells
kul3,pooled,800,gaussian_matched,balanced,2000.0,2000,0.0,800.0,800.0,2.244864581036046,4.231502149341706,792.5267161565577,0.0,normal,True,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
kul3,pooled,800,gaussian_matched,fixed_fraction,2000.0,2000,0.0,800.0,800.0,2.244864581036046,4.231502149341706,792.5267161565577,0.0,normal,True,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
kul3,pooled,800,skew_matched_no_zeros,balanced,2000.0,2000,0.0,800.0,800.0,1.6442861936564883,4.231502149341706,499.46198430978575,10.737927952347212,gamma_skew_clipped,False,0.050317108261815645,0.061,0.005351588549206675,within_patient_over_cells
kul3,pooled,800,skew_matched_no_zeros,fixed_fraction,2000.0,2000,0.0,800.0,800.0,1.6442861936564883,4.231502149341706,499.46198430978575,10.737927952347212,gamma_skew_clipped,False,0.050317108261815645,0.061,0.005351588549206675,within_patient_over_cells
kul3,pooled,800,zeros_removed_mean_matched,balanced,2000.0,2000,0.0,800.0,800.0,0.9622763407343955,4.231502149341706,162.2761986749668,5.291238988922032,empirical_positive_rescaled,False,0.050317108261815645,0.0465,0.004708383480558906,within_patient_over_cells
kul3,pooled,800,zeros_removed_mean_matched,fixed_fraction,2000.0,2000,0.0,800.0,800.0,0.9622763407343955,4.231502149341706,162.2761986749668,5.291238988922032,empirical_positive_rescaled,False,0.050317108261815645,0.0465,0.004708383480558906,within_patient_over_cells
kul3,reference,50,empirical,balanced,2000.0,2000,0.0,50.0,50.0,12.944599999999998,11.434079885184893,2475.021814517365,6.570713665622591,empirical,True,0.05522162163915023,0.0875,0.006318375978050055,within_patient_over_cells
kul3,reference,50,empirical,fixed_fraction,2000.0,2000,0.0,800.0,50.0,8.180324999999996,11.434079885184893,2475.021814517365,6.570713665622591,empirical,True,0.05731709191200631,0.1695,0.008389569416841366,within_patient_over_cells
kul3,reference,50,gaussian_matched,balanced,2000.0,2000,0.0,50.0,50.0,14.868571632405951,11.434079885184893,2475.021814517365,0.0,normal,True,0.05522162163915023,0.052,0.004964675215963275,within_patient_over_cells
kul3,reference,50,gaussian_matched,fixed_fraction,2000.0,2000,0.0,800.0,50.0,10.894517065232936,11.434079885184893,2475.021814517365,0.0,normal,True,0.05731709191200631,0.0545,0.005075911248239078,within_patient_over_cells
kul3,reference,50,skew_matched_no_zeros,balanced,2000.0,2000,0.0,50.0,50.0,9.863636275846487,11.434079885184893,1562.6736651299912,6.570713665622591,gamma_mean_skew,True,0.05522162163915023,0.078,0.005996498978570746,within_patient_over_cells
kul3,reference,50,skew_matched_no_zeros,fixed_fraction,2000.0,2000,0.0,800.0,50.0,6.298435732006738,11.434079885184893,1562.6736651299912,6.570713665622591,gamma_mean_skew,True,0.05731709191200631,0.1415,0.007793514932301086,within_patient_over_cells
kul3,reference,50,zeros_removed_mean_matched,balanced,2000.0,2000,0.0,50.0,50.0,7.974582769441989,11.434079885184893,897.5436897641894,3.82915460077215,empirical_positive_rescaled,False,0.05522162163915023,0.0685,0.0056483515294287415,within_patient_over_cells
kul3,reference,50,zeros_removed_mean_matched,fixed_fraction,2000.0,2000,0.0,800.0,50.0,5.285850951802257,11.434079885184893,897.5436897641894,3.82915460077215,empirical_positive_rescaled,False,0.05731709191200631,0.1095,0.0069824691191583505,within_patient_over_cells
kul3,reference,800,empirical,balanced,2000.0,2000,0.0,800.0,800.0,3.762237500000001,11.345360184035476,2484.2239292318986,6.652797196020115,empirical,True,0.050317108261815645,0.056,0.005141206084179081,within_patient_over_cells
kul3,reference,800,empirical,fixed_fraction,2000.0,2000,0.0,800.0,800.0,3.762237500000001,11.345360184035476,2484.2239292318986,6.652797196020115,empirical,True,0.050317108261815645,0.056,0.005141206084179081,within_patient_over_cells
kul3,reference,800,gaussian_matched,balanced,2000.0,2000,0.0,800.0,800.0,3.7859207457590975,11.345360184035476,2484.2239292318986,0.0,normal,True,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
kul3,reference,800,gaussian_matched,fixed_fraction,2000.0,2000,0.0,800.0,800.0,3.7859207457590975,11.345360184035476,2484.2239292318986,0.0,normal,True,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
kul3,reference,800,skew_matched_no_zeros,balanced,2000.0,2000,0.0,800.0,800.0,2.82140541624007,11.345360184035476,1591.0005091116964,6.652797196020115,gamma_mean_skew,True,0.050317108261815645,0.0455,0.004659922209651144,within_patient_over_cells
kul3,reference,800,skew_matched_no_zeros,fixed_fraction,2000.0,2000,0.0,800.0,800.0,2.82140541624007,11.345360184035476,1591.0005091116964,6.652797196020115,gamma_mean_skew,True,0.050317108261815645,0.0455,0.004659922209651144,within_patient_over_cells
kul3,reference,800,zeros_removed_mean_matched,balanced,2000.0,2000,0.0,800.0,800.0,2.1387261391625616,11.345360184035476,903.0901001429838,3.8802720633223133,empirical_positive_rescaled,False,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
kul3,reference,800,zeros_removed_mean_matched,fixed_fraction,2000.0,2000,0.0,800.0,800.0,2.1387261391625616,11.345360184035476,903.0901001429838,3.8802720633223133,empirical_positive_rescaled,False,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
smc,pooled,50,empirical,balanced,2000.0,2000,0.0,50.0,50.0,5.8165,6.025022497493345,763.8865055595736,8.696255607867064,empirical,True,0.05522162163915023,0.0895,0.006383171233799075,within_patient_over_cells
smc,pooled,50,empirical,fixed_fraction,2000.0,2000,0.0,800.0,50.0,3.93086875,6.025022497493345,763.8865055595736,8.696255607867064,empirical,True,0.05731709191200631,0.2275,0.009373999946660976,within_patient_over_cells
smc,pooled,50,gaussian_matched,balanced,2000.0,2000,0.0,50.0,50.0,6.054929971094564,6.025022497493345,763.8865055595736,0.0,normal,True,0.05522162163915023,0.052,0.004964675215963275,within_patient_over_cells
smc,pooled,50,gaussian_matched,fixed_fraction,2000.0,2000,0.0,800.0,50.0,4.514299860391234,6.025022497493345,763.8865055595736,0.0,normal,True,0.05731709191200631,0.0545,0.005075911248239078,within_patient_over_cells
smc,pooled,50,skew_matched_no_zeros,balanced,2000.0,2000,0.0,50.0,50.0,4.395143631917962,6.025022497493345,497.22932959578327,8.420168569917141,gamma_mean_skew,False,0.05522162163915023,0.0815,0.006117914268768401,within_patient_over_cells
smc,pooled,50,skew_matched_no_zeros,fixed_fraction,2000.0,2000,0.0,800.0,50.0,2.7413970896677924,6.025022497493345,497.22932959578327,8.420168569917141,gamma_mean_skew,False,0.05731709191200631,0.1835,0.00865528018032923,within_patient_over_cells
smc,pooled,50,zeros_removed_mean_matched,balanced,2000.0,2000,0.0,50.0,50.0,2.4733893163703247,6.025022497493345,140.7565869714544,3.221731123543659,empirical_positive_rescaled,False,0.05522162163915023,0.0725,0.005798437289477226,within_patient_over_cells
smc,pooled,50,zeros_removed_mean_matched,fixed_fraction,2000.0,2000,0.0,800.0,50.0,1.6647749228187916,6.025022497493345,140.7565869714544,3.221731123543659,empirical_positive_rescaled,False,0.05731709191200631,0.088,0.006334666526345329,within_patient_over_cells
smc,pooled,800,empirical,balanced,2000.0,2000,0.0,800.0,800.0,1.57305625,5.750054754088135,722.1890003597689,8.950675810142155,empirical,True,0.050317108261815645,0.0575,0.005205465877325487,within_patient_over_cells
smc,pooled,800,empirical,fixed_fraction,2000.0,2000,0.0,800.0,800.0,1.57305625,5.750054754088135,722.1890003597689,8.950675810142155,empirical,True,0.050317108261815645,0.0575,0.005205465877325487,within_patient_over_cells
smc,pooled,800,gaussian_matched,balanced,2000.0,2000,0.0,800.0,800.0,1.5060371928535459,5.750054754088135,722.1890003597689,0.0,normal,True,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
smc,pooled,800,gaussian_matched,fixed_fraction,2000.0,2000,0.0,800.0,800.0,1.5060371928535459,5.750054754088135,722.1890003597689,0.0,normal,True,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
smc,pooled,800,skew_matched_no_zeros,balanced,2000.0,2000,0.0,800.0,800.0,1.2022853493876542,5.750054754088135,468.53152707143283,8.576877459105415,gamma_mean_skew,False,0.050317108261815645,0.057,0.00518415856238985,within_patient_over_cells
smc,pooled,800,skew_matched_no_zeros,fixed_fraction,2000.0,2000,0.0,800.0,800.0,1.2022853493876542,5.750054754088135,468.53152707143283,8.576877459105415,gamma_mean_skew,False,0.050317108261815645,0.057,0.00518415856238985,within_patient_over_cells
smc,pooled,800,zeros_removed_mean_matched,balanced,2000.0,2000,0.0,800.0,800.0,0.6251357314777732,5.750054754088135,131.37409123591254,3.2398369447585766,empirical_positive_rescaled,False,0.050317108261815645,0.0465,0.004708383480558906,within_patient_over_cells
smc,pooled,800,zeros_removed_mean_matched,fixed_fraction,2000.0,2000,0.0,800.0,800.0,0.6251357314777732,5.750054754088135,131.37409123591254,3.2398369447585766,empirical_positive_rescaled,False,0.050317108261815645,0.0465,0.004708383480558906,within_patient_over_cells
smc,reference,50,empirical,balanced,2000.0,2000,0.0,50.0,50.0,13.777299999999997,26.412791226224794,2729.356423022927,3.3878581605359743,empirical,True,0.05522162163915023,0.0745,0.005871530890662162,within_patient_over_cells
smc,reference,50,empirical,fixed_fraction,2000.0,2000,0.0,800.0,50.0,9.966043749999994,26.412791226224794,2729.356423022927,3.3878581605359743,empirical,True,0.05731709191200631,0.097,0.006617816860566633,within_patient_over_cells
smc,reference,50,gaussian_matched,balanced,2000.0,2000,0.0,50.0,50.0,14.635529821431295,26.412791226224794,2729.356423022927,0.0,normal,True,0.05522162163915023,0.052,0.004964675215963275,within_patient_over_cells
smc,reference,50,gaussian_matched,fixed_fraction,2000.0,2000,0.0,800.0,50.0,10.35761344806387,26.412791226224794,2729.356423022927,0.0,normal,True,0.05731709191200631,0.0545,0.005075911248239078,within_patient_over_cells
smc,reference,50,skew_matched_no_zeros,balanced,2000.0,2000,0.0,50.0,50.0,10.739593273390284,26.412791226224794,1881.4196784057542,3.3878581605359743,gamma_mean_skew,True,0.05522162163915023,0.052,0.004964675215963275,within_patient_over_cells
smc,reference,50,skew_matched_no_zeros,fixed_fraction,2000.0,2000,0.0,800.0,50.0,7.36809629228828,26.412791226224794,1881.4196784057542,3.3878581605359743,gamma_mean_skew,True,0.05731709191200631,0.085,0.0062359842847781455,within_patient_over_cells
smc,reference,50,zeros_removed_mean_matched,balanced,2000.0,2000,0.0,50.0,50.0,10.195400520833333,26.412791226224794,1683.376180694131,2.5628226458824566,empirical_positive_rescaled,False,0.05522162163915023,0.056,0.005141206084179081,within_patient_over_cells
smc,reference,50,zeros_removed_mean_matched,fixed_fraction,2000.0,2000,0.0,800.0,50.0,7.572363841324199,26.412791226224794,1683.376180694131,2.5628226458824566,empirical_positive_rescaled,False,0.05731709191200631,0.071,0.005742778073371807,within_patient_over_cells
smc,reference,800,empirical,balanced,2000.0,2000,0.0,800.0,800.0,3.652418749999999,26.03027721145106,2675.5420021680256,3.43169642140152,empirical,True,0.050317108261815645,0.0455,0.004659922209651144,within_patient_over_cells
smc,reference,800,empirical,fixed_fraction,2000.0,2000,0.0,800.0,800.0,3.652418749999999,26.03027721145106,2675.5420021680256,3.43169642140152,empirical,True,0.050317108261815645,0.0455,0.004659922209651144,within_patient_over_cells
smc,reference,800,gaussian_matched,balanced,2000.0,2000,0.0,800.0,800.0,3.68683809188662,26.03027721145106,2675.5420021680256,0.0,normal,True,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
smc,reference,800,gaussian_matched,fixed_fraction,2000.0,2000,0.0,800.0,800.0,3.68683809188662,26.03027721145106,2675.5420021680256,0.0,normal,True,0.050317108261815645,0.0505,0.00489641450451246,within_patient_over_cells
smc,reference,800,skew_matched_no_zeros,balanced,2000.0,2000,0.0,800.0,800.0,2.767319442886626,26.03027721145106,1829.473325779642,3.43169642140152,gamma_mean_skew,True,0.050317108261815645,0.0565,0.005162739098579358,within_patient_over_cells
smc,reference,800,skew_matched_no_zeros,fixed_fraction,2000.0,2000,0.0,800.0,800.0,2.767319442886626,26.03027721145106,1829.473325779642,3.43169642140152,gamma_mean_skew,True,0.050317108261815645,0.0565,0.005162739098579358,within_patient_over_cells
smc,reference,800,zeros_removed_mean_matched,balanced,2000.0,2000,0.0,800.0,800.0,2.7168108062770555,26.030277211451057,1643.173309629988,2.582190407549647,empirical_positive_rescaled,False,0.050317108261815645,0.057,0.00518415856238985,within_patient_over_cells
