cohort,pool,n_held_out,n_cells_mature,shift,candidate,seed_stream,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,excludes_zero_rate,coverage,median_ci_width,n_normal,n_tumour,n_replicates,n_pool_undefined,null_rejection,null_rejection_mcse,pool_mean,pool_var,pool_skew,pool_form,skew_matched,closed_form_floor
smc,pooled,5,5,0.5,percentile,20260831,400.0,400,0.0,300.0,135.0,0.75,0.3375,1.6178937499999995,,,,,,,,,,,,
smc,pooled,5,5,0.5,patient_cluster,20260831,400.0,392,8.0,278.0,367.0,0.7091836734693877,0.9362244897959183,4.806539692012313,,,,,,,,,,,,
smc,pooled,5,5,0.5,pseudobulk_patient_t,20260831,400.0,392,8.0,15.0,387.0,0.03826530612244898,0.9872448979591837,11.639992180320306,,,,,,,,,,,,
smc,pooled,2,5,0.5,percentile,20260831,400.0,400,0.0,287.0,199.0,0.7175,0.4975,1.34084375,,,,,,,,,,,,
smc,pooled,2,5,0.5,studentised,20260831,400.0,400,0.0,280.0,187.0,0.7,0.4675,1.5525695359080718,,,,,,,,,,,,
smc,pooled,2,5,0.5,bca,20260831,400.0,400,0.0,283.0,180.0,0.7075,0.45,1.38026970731115,,,,,,,,,,,,
smc,pooled,2,5,0.5,welch_t,20260831,400.0,400,0.0,278.0,216.0,0.695,0.54,1.382456226868816,,,,,,,,,,,,
smc,pooled,2,5,0.5,patient_cluster,20260831,400.0,299,101.0,207.0,208.0,0.6923076923076923,0.6956521739130435,2.9066436583261432,,,,,,,,,,,,
smc,pooled,2,5,0.5,pseudobulk_patient_t,20260831,400.0,299,101.0,6.0,297.0,0.020066889632107024,0.9933110367892977,28.61119702864839,,,,,,,,,,,,
smc,pooled,5,50,0.5,percentile,20260831,400.0,400,0.0,171.0,358.0,0.4275,0.895,2.5832437499999994,,,,,,,,,,,,
smc,pooled,5,50,0.5,patient_cluster,20260831,400.0,400,0.0,87.0,400.0,0.2175,1.0,5.209296183527014,,,,,,,,,,,,
smc,pooled,5,50,0.5,pseudobulk_patient_t,20260831,400.0,400,0.0,21.0,395.0,0.0525,0.9875,6.0887393885187375,,,,,,,,,,,,
smc,pooled,2,5,1.0,percentile,20260831,400.0,400,0.0,259.0,141.0,0.6475,0.3525,1.5669187499999997,,,,,,,,,,,,
smc,pooled,2,5,1.0,studentised,20260831,400.0,400,0.0,252.0,148.0,0.63,0.37,1.7392092833520256,,,,,,,,,,,,
smc,pooled,2,5,1.0,bca,20260831,400.0,400,0.0,254.0,146.0,0.635,0.365,1.610336211416613,,,,,,,,,,,,
smc,pooled,2,5,1.0,welch_t,20260831,400.0,400,0.0,249.0,151.0,0.6225,0.3775,1.6741672106588839,,,,,,,,,,,,
smc,pooled,2,5,1.0,patient_cluster,20260831,400.0,265,135.0,165.0,100.0,0.6226415094339622,0.37735849056603776,3.1277705345501956,,,,,,,,,,,,
smc,pooled,2,5,1.0,pseudobulk_patient_t,20260831,400.0,265,135.0,16.0,249.0,0.06037735849056604,0.939622641509434,25.00929223776581,,,,,,,,,,,,
smc,pooled,5,5,1.0,percentile,20260831,400.0,400,0.0,278.0,122.0,0.695,0.305,1.7178062499999993,,,,,,,,,,,,
smc,pooled,5,5,1.0,patient_cluster,20260831,400.0,393,7.0,247.0,146.0,0.628498727735369,0.37150127226463103,5.518447826683122,,,,,,,,,,,,
smc,pooled,5,5,1.0,pseudobulk_patient_t,20260831,400.0,393,7.0,10.0,383.0,0.02544529262086514,0.9745547073791349,15.070706947715761,,,,,,,,,,,,
smc,pooled,5,50,1.0,percentile,20260831,400.0,400,0.0,79.0,321.0,0.1975,0.8025,4.348699999999999,,,,,,,,,,,,
smc,pooled,5,50,1.0,patient_cluster,20260831,400.0,400,0.0,45.0,355.0,0.1125,0.8875,7.346810228095185,,,,,,,,,,,,
smc,pooled,5,50,1.0,pseudobulk_patient_t,20260831,400.0,400,0.0,15.0,385.0,0.0375,0.9625,7.099256282365005,,,,,,,,,,,,
smc,pooled,2,50,0.5,percentile,20260831,400.0,400,0.0,197.0,372.0,0.4925,0.93,2.258631249999998,,,,,,,,,,,,
smc,pooled,2,50,0.5,studentised,20260831,400.0,400,0.0,174.0,359.0,0.435,0.8975,2.5641152422716442,,,,,,,,,,,,
smc,pooled,2,50,0.5,bca,20260831,400.0,400,0.0,177.0,356.0,0.4425,0.89,2.4127791153494944,,,,,,,,,,,,
smc,pooled,2,50,0.5,welch_t,20260831,400.0,400,0.0,194.0,377.0,0.485,0.9425,2.342494528143004,,,,,,,,,,,,
smc,pooled,2,50,0.5,patient_cluster,20260831,400.0,399,1.0,123.0,353.0,0.3082706766917293,0.8847117794486216,3.736259499734193,,,,,,,,,,,,
smc,pooled,2,50,0.5,pseudobulk_patient_t,20260831,400.0,399,1.0,17.0,388.0,0.042606516290726815,0.9724310776942355,17.617330689266787,,,,,,,,,,,,
smc,pooled,5,100,0.5,percentile,20260831,400.0,400,0.0,199.0,383.0,0.4975,0.9575,2.2036124999999984,,,,,,,,,,,,
smc,pooled,5,100,0.5,patient_cluster,20260831,400.0,400,0.0,54.0,399.0,0.135,0.9975,4.7911201251433955,,,,,,,,,,,,
smc,pooled,5,100,0.5,pseudobulk_patient_t,20260831,400.0,400,0.0,25.0,393.0,0.0625,0.9825,5.148186935987063,,,,,,,,,,,,
smc,pooled,2,50,1.0,percentile,20260831,400.0,400,0.0,94.0,306.0,0.235,0.765,3.4295625000000003,,,,,,,,,,,,
smc,pooled,2,50,1.0,studentised,20260831,400.0,400,0.0,98.0,302.0,0.245,0.755,5.25049576028281,,,,,,,,,,,,
smc,pooled,2,50,1.0,bca,20260831,400.0,400,0.0,105.0,295.0,0.2625,0.7375,4.137921090554888,,,,,,,,,,,,
smc,pooled,2,50,1.0,welch_t,20260831,400.0,400,0.0,91.0,309.0,0.2275,0.7725,3.674596476221973,,,,,,,,,,,,
smc,pooled,2,50,1.0,patient_cluster,20260831,400.0,400,0.0,98.0,302.0,0.245,0.755,4.6668036650611615,,,,,,,,,,,,
smc,pooled,2,50,1.0,pseudobulk_patient_t,20260831,400.0,400,0.0,10.0,390.0,0.025,0.975,20.537205255477254,,,,,,,,,,,,
smc,pooled,5,100,1.0,percentile,20260831,400.0,400,0.0,52.0,348.0,0.13,0.87,3.5221874999999994,,,,,,,,,,,,
smc,pooled,5,100,1.0,patient_cluster,20260831,400.0,400,0.0,18.0,382.0,0.045,0.955,6.2091126524710685,,,,,,,,,,,,
smc,pooled,5,100,1.0,pseudobulk_patient_t,20260831,400.0,400,0.0,11.0,389.0,0.0275,0.9725,5.744803260778415,,,,,,,,,,,,
smc,pooled,2,100,0.5,percentile,20260831,400.0,400,0.0,217.0,387.0,0.5425,0.9675,1.8668312499999997,,,,,,,,,,,,
smc,pooled,2,100,0.5,studentised,20260831,400.0,400,0.0,203.0,382.0,0.5075,0.955,1.9753531008028746,,,,,,,,,,,,
smc,pooled,2,100,0.5,bca,20260831,400.0,400,0.0,201.0,379.0,0.5025,0.9475,1.952246609808324,,,,,,,,,,,,
smc,pooled,2,100,0.5,welch_t,20260831,400.0,400,0.0,222.0,394.0,0.555,0.985,1.88669131574426,,,,,,,,,,,,
smc,pooled,2,100,0.5,patient_cluster,20260831,400.0,400,0.0,112.0,358.0,0.28,0.895,3.0859256649863864,,,,,,,,,,,,
smc,pooled,2,100,0.5,pseudobulk_patient_t,20260831,400.0,400,0.0,19.0,390.0,0.0475,0.975,17.181661669626962,,,,,,,,,,,,
smc,pooled,2,100,1.0,percentile,20260831,400.0,400,0.0,67.0,333.0,0.1675,0.8325,2.9924,,,,,,,,,,,,
smc,pooled,2,100,1.0,studentised,20260831,400.0,400,0.0,62.0,338.0,0.155,0.845,3.7547112305604093,,,,,,,,,,,,
smc,pooled,2,100,1.0,bca,20260831,400.0,400,0.0,64.0,336.0,0.16,0.84,3.3130521587903528,,,,,,,,,,,,
smc,pooled,2,100,1.0,welch_t,20260831,400.0,400,0.0,58.0,342.0,0.145,0.855,2.998507748519609,,,,,,,,,,,,
smc,pooled,2,100,1.0,patient_cluster,20260831,400.0,400,0.0,59.0,341.0,0.1475,0.8525,3.923704899122204,,,,,,,,,,,,
smc,pooled,2,100,1.0,pseudobulk_patient_t,20260831,400.0,400,0.0,14.0,386.0,0.035,0.965,14.32410224810646,,,,,,,,,,,,
smc,pooled,2,800,1.0,percentile,20260831,400.0,400,0.0,35.0,365.0,0.0875,0.9125,1.5433874999999995,,,,,,,,,,,,
smc,pooled,2,800,1.0,studentised,20260831,400.0,400,0.0,40.0,360.0,0.1,0.9,1.5902881864569438,,,,,,,,,,,,
