cohort,pool,n_held_out,n_cells_mature,shift,candidate,n_streams,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,median_ci_width,stream_min_rate,stream_max_rate,excludes_zero_rate,coverage,abstention_rate,excludes_zero_mcse,coverage_mcse
kul3,pooled,2,5,0.5,bca,5,2000.0,2000,0.0,1580.0,762.0,1.8028880968870298,0.7775,0.8075,0.79,0.381,0.0,0.00910768905925098,0.010859074546203282
kul3,pooled,2,5,0.5,patient_cluster,5,2000.0,1059,941.0,857.0,346.0,1.025796172230434,0.7880184331797235,0.8378378378378378,0.8092540132200189,0.3267233238904627,0.4705,0.01207319334133807,0.014412485194347
kul3,pooled,2,5,0.5,percentile,5,2000.0,2000,0.0,1588.0,1013.0,1.6907374999999987,0.7775,0.8075,0.794,0.5065,0.0,0.009043340090917736,0.01117939510885987
kul3,pooled,2,5,0.5,pseudobulk_patient_t,5,2000.0,1059,941.0,179.0,978.0,10.262274706878774,0.1339712918660287,0.1889400921658986,0.16902738432483475,0.9235127478753541,0.4705,0.011516590146628453,0.008167102321370209
kul3,pooled,2,5,0.5,studentised,5,2000.0,2000,0.0,1576.0,832.0,1.9892325208467474,0.7775,0.8075,0.788,0.416,0.0,0.009139365404665686,0.011021433663548495
kul3,pooled,2,5,0.5,welch_t,5,2000.0,2000,0.0,1565.0,1288.0,1.722705135482261,0.7625,0.8025,0.7825,0.644,0.0,0.00922479674572833,0.010706633457814833
kul3,pooled,2,5,1.0,bca,5,2000.0,2000,0.0,1436.0,564.0,1.8905410490105163,0.705,0.7425,0.718,0.282,0.0,0.010061709596286309,0.010061709596286309
kul3,pooled,2,5,1.0,patient_cluster,5,2000.0,1056,944.0,815.0,241.0,1.1184452418741215,0.7339449541284404,0.8215962441314554,0.771780303030303,0.22821969696969696,0.472,0.012914911912261505,0.012914911912261504
kul3,pooled,2,5,1.0,percentile,5,2000.0,2000,0.0,1445.0,555.0,1.7626437499999996,0.7125,0.7475,0.7225,0.2775,0.0,0.010012336140981284,0.010012336140981284
kul3,pooled,2,5,1.0,pseudobulk_patient_t,5,2000.0,1056,944.0,165.0,891.0,11.507106091259885,0.1320754716981132,0.18571428571428572,0.15625,0.84375,0.472,0.011173389717721785,0.011173389717721785
kul3,pooled,2,5,1.0,studentised,5,2000.0,2000,0.0,1417.0,583.0,2.055386968563943,0.69,0.7425,0.7085,0.2915,0.0,0.010161883437631037,0.010161883437631037
kul3,pooled,2,5,1.0,welch_t,5,2000.0,2000,0.0,1401.0,599.0,1.8347631462332274,0.6875,0.73,0.7005,0.2995,0.0,0.01024206400097168,0.01024206400097168
kul3,pooled,2,50,0.5,bca,5,2000.0,2000,0.0,948.0,1605.0,2.4176063129907988,0.46,0.505,0.474,0.8025,0.0,0.011165213835838524,0.00890207138816579
kul3,pooled,2,50,0.5,patient_cluster,5,2000.0,1309,691.0,798.0,810.0,1.6142671779886717,0.556390977443609,0.6481481481481481,0.6096256684491979,0.6187929717341482,0.3455,0.013483493369417926,0.013424042313876398
kul3,pooled,2,50,0.5,percentile,5,2000.0,2000,0.0,990.0,1779.0,2.2552062500000005,0.4825,0.5225,0.495,0.8895,0.0,0.01117978085652845,0.007010340576605391
kul3,pooled,2,50,0.5,pseudobulk_patient_t,5,2000.0,1309,691.0,105.0,1258.0,14.412254005327114,0.07037037037037037,0.09774436090225563,0.08021390374331551,0.961038961038961,0.3455,0.007507553282831622,0.005348302201930485
kul3,pooled,2,50,0.5,studentised,5,2000.0,2000,0.0,975.0,1668.0,2.5405588646862234,0.4725,0.515,0.4875,0.834,0.0,0.011176845485198405,0.008319975961503736
kul3,pooled,2,50,0.5,welch_t,5,2000.0,2000,0.0,990.0,1857.0,2.2876261180669033,0.485,0.5175,0.495,0.9285,0.0,0.01117978085652845,0.005761412587204635
kul3,pooled,2,50,1.0,bca,5,2000.0,2000,0.0,656.0,1344.0,3.652955851881843,0.295,0.345,0.328,0.672,0.0,0.01049799980948752,0.01049799980948752
kul3,pooled,2,50,1.0,patient_cluster,5,2000.0,1335,665.0,626.0,709.0,2.2970686913185006,0.45229681978798586,0.5075757575757576,0.4689138576779026,0.5310861423220974,0.3325,0.013658040168343977,0.013658040168343977
kul3,pooled,2,50,1.0,percentile,5,2000.0,2000,0.0,635.0,1365.0,3.2088312499999985,0.29,0.3425,0.3175,0.6825,0.0,0.010408980497627998,0.010408980497627998
kul3,pooled,2,50,1.0,pseudobulk_patient_t,5,2000.0,1335,665.0,84.0,1251.0,22.345077000658627,0.048507462686567165,0.08139534883720931,0.06292134831460675,0.9370786516853933,0.3325,0.006645786716357204,0.0066457867163572035
kul3,pooled,2,50,1.0,studentised,5,2000.0,2000,0.0,650.0,1350.0,3.935032912097471,0.2975,0.345,0.325,0.675,0.0,0.010473180032826705,0.010473180032826705
kul3,pooled,2,50,1.0,welch_t,5,2000.0,2000,0.0,619.0,1381.0,3.3086504007844146,0.2825,0.335,0.3095,0.6905,0.0,0.010337063170939801,0.010337063170939801
kul3,pooled,2,100,0.5,bca,5,2000.0,2000,0.0,849.0,1820.0,2.4094545336585353,0.365,0.4575,0.4245,0.91,0.0,0.011052143457266558,0.0063992187023104614
kul3,pooled,2,100,0.5,patient_cluster,5,2000.0,1351,649.0,834.0,964.0,1.4757518832656584,0.5915492957746479,0.6382978723404256,0.6173205033308661,0.7135455218356773,0.3245,0.013223465099445896,0.012300166093970078
kul3,pooled,2,100,0.5,percentile,5,2000.0,2000,0.0,877.0,1920.0,2.2643312499999992,0.3775,0.4675,0.4385,0.96,0.0,0.011095443884766396,0.004381780460041331
kul3,pooled,2,100,0.5,pseudobulk_patient_t,5,2000.0,1351,649.0,112.0,1307.0,12.7505322847219,0.06382978723404255,0.1037037037037037,0.08290155440414508,0.9674315321983715,0.3245,0.007501733660053633,0.004829265790267112
kul3,pooled,2,100,0.5,studentised,5,2000.0,2000,0.0,864.0,1859.0,2.407422836120097,0.37,0.455,0.432,0.9295,0.0,0.011076461528845753,0.005724061058374553
kul3,pooled,2,100,0.5,welch_t,5,2000.0,2000,0.0,876.0,1953.0,2.280230405550376,0.37,0.47,0.438,0.9765,0.0,0.01109405246066558,0.0033873108803297025
kul3,pooled,2,100,1.0,bca,5,2000.0,2000,0.0,441.0,1559.0,4.03814207025054,0.185,0.2675,0.2205,0.7795,0.0,0.009270376205958419,0.009270376205958419
kul3,pooled,2,100,1.0,patient_cluster,5,2000.0,1342,658.0,555.0,787.0,2.033944406263859,0.36666666666666664,0.43023255813953487,0.4135618479880775,0.5864381520119225,0.329,0.013443275037109481,0.013443275037109481
kul3,pooled,2,100,1.0,percentile,5,2000.0,2000,0.0,397.0,1603.0,3.4333812499999987,0.165,0.2325,0.1985,0.8015,0.0,0.008919017602852906,0.008919017602852906
kul3,pooled,2,100,1.0,pseudobulk_patient_t,5,2000.0,1342,658.0,78.0,1264.0,17.739114300122516,0.03597122302158273,0.08333333333333333,0.05812220566318927,0.9418777943368107,0.329,0.006386928649966114,0.006386928649966114
kul3,pooled,2,100,1.0,studentised,5,2000.0,2000,0.0,426.0,1574.0,4.141368445557655,0.175,0.255,0.213,0.787,0.0,0.009155080556718221,0.00915508055671822
kul3,pooled,2,100,1.0,welch_t,5,2000.0,2000,0.0,381.0,1619.0,3.5704353266125928,0.1575,0.2175,0.1905,0.8095,0.0,0.008780938161722813,0.008780938161722813
kul3,pooled,2,800,0.5,bca,5,2000.0,2000,0.0,1250.0,1979.0,1.727127815220281,0.605,0.6575,0.625,0.9895,0.0,0.010825317547305483,0.0022792268425937726
kul3,pooled,2,800,0.5,patient_cluster,5,2000.0,1344,656.0,951.0,1127.0,1.0874133675283304,0.6923076923076923,0.7209302325581395,0.7075892857142857,0.8385416666666666,0.328,0.012407595613622528,0.01003674572903401
