cohort,pool,n_cells_mature,shift,seed,n_attempted,n_valid,n_excludes_zero,exclusion_rate,coverage,median_ci_width,n_zero_width,n_tumour_all_zero,n_excludes_zero_and_tumour_all_zero,n_normal_all_zero
smc,pooled,5,0.5,20260831,200,200,141,0.705,0.485,1.4506625,0,96,96,0
smc,pooled,5,1.0,20260831,200,200,126,0.63,0.37,1.6025999999999998,0,71,71,0
smc,pooled,50,0.5,20260831,200,200,105,0.525,0.915,2.34661875,0,3,3,0
smc,pooled,50,1.0,20260831,200,200,57,0.285,0.715,2.9618250000000006,0,2,2,0
smc,pooled,100,0.5,20260831,200,200,112,0.56,0.96,1.8434000000000004,0,0,0,0
smc,pooled,100,1.0,20260831,200,200,36,0.18,0.82,2.9372875000000005,0,0,0,0
smc,pooled,800,0.5,20260831,200,200,139,0.695,1.0,1.1446250000000004,0,0,0,0
smc,pooled,800,1.0,20260831,200,200,19,0.095,0.905,1.6631375000000004,0,0,0,0
smc,reference,5,0.5,20260831,200,200,116,0.58,0.675,9.467231250000001,0,4,4,0
smc,reference,5,1.0,20260831,200,200,75,0.375,0.625,14.999625000000002,0,4,4,0
smc,reference,50,0.5,20260831,200,200,156,0.78,0.925,5.8548875,0,0,0,0
smc,reference,50,1.0,20260831,200,200,24,0.12,0.88,9.938306250000002,0,0,0,0
smc,reference,100,0.5,20260831,200,200,177,0.885,0.925,4.144318750000001,0,0,0,0
smc,reference,100,1.0,20260831,200,200,14,0.07,0.93,7.548337500000001,0,0,0,0
smc,reference,800,0.5,20260831,200,200,197,0.985,1.0,2.6527187500000013,0,0,0,0
smc,reference,800,1.0,20260831,200,200,14,0.07,0.93,3.5585875000000007,0,0,0,0
kul3,pooled,5,0.5,20260831,200,200,151,0.755,0.545,1.7163062500000004,0,85,85,0
kul3,pooled,5,1.0,20260831,200,200,134,0.67,0.33,1.7938000000000003,0,62,62,0
kul3,pooled,50,0.5,20260831,200,200,108,0.54,0.87,2.0081125,0,2,2,0
kul3,pooled,50,1.0,20260831,200,200,60,0.3,0.7,3.1638375000000005,0,0,0,0
kul3,pooled,100,0.5,20260831,200,200,67,0.335,0.97,2.3525375,0,0,0,0
kul3,pooled,100,1.0,20260831,200,200,38,0.19,0.81,3.517587500000001,0,0,0,0
kul3,pooled,800,0.5,20260831,200,200,107,0.535,0.99,1.6023562500000001,0,0,0,0
kul3,pooled,800,1.0,20260831,200,200,9,0.045,0.955,2.0402125,0,0,0,0
kul3,reference,5,0.5,20260831,200,200,140,0.7,0.405,3.2049625000000006,0,46,46,0
kul3,reference,5,1.0,20260831,200,200,123,0.615,0.385,3.6477687500000004,0,27,27,0
kul3,reference,50,0.5,20260831,200,200,110,0.55,0.865,4.302025,0,0,0,0
kul3,reference,50,1.0,20260831,200,200,31,0.155,0.845,8.16456875,0,0,0,0
kul3,reference,100,0.5,20260831,200,200,112,0.56,0.935,4.059793750000001,0,0,0,0
kul3,reference,100,1.0,20260831,200,200,32,0.16,0.84,6.695306250000001,0,0,0,0
kul3,reference,800,0.5,20260831,200,200,174,0.87,0.995,3.0167375000000014,0,0,0,0
kul3,reference,800,1.0,20260831,200,200,13,0.065,0.935,3.6228625,0,0,0,0
