cohort,pool,n_held_out,n_cells_mature,shift,n_attempted,n_valid,n_abstained,abstention,median_width,source_patients_min,source_patients_max,median_abs_target_gap,n_rejected,rejection,rejection_low,rejection_high,n_cell_covered,cell_coverage,cell_coverage_low,cell_coverage_high,n_patient_covered,patient_coverage,patient_coverage_low,patient_coverage_high,n_draw_covered,draw_inclusion,draw_inclusion_low,draw_inclusion_high,unconditional_rejection
kul3,pooled,2,50,0.5,2000,1309,691,0.34550000000000003,14.029625675293707,1,2,0.028768152542469005,105,0.08021390374331551,0.0666979806143079,0.09618646928170979,1257,0.9602750190985485,0.9482776770118024,0.9695787723742746,1258,0.961038961038961,0.9491362239382364,0.9702436386418423,1258,0.961038961038961,0.9491362239382364,0.9702436386418423,0.0525
kul3,pooled,2,50,1.0,2000,1335,665,0.3325,21.41850323874973,1,2,0.0,84,0.06292134831460675,0.05110831177941066,0.07724255283458109,1251,0.9370786516853933,0.922757447165419,0.9488916882205893,1251,0.9370786516853933,0.922757447165419,0.9488916882205893,1251,0.9370786516853933,0.922757447165419,0.9488916882205893,0.042
kul3,pooled,2,800,0.5,2000,1344,656,0.32799999999999996,8.195349840822061,1,2,0.028768152542469005,144,0.10714285714285714,0.09171255241198839,0.12481251209822736,1281,0.953125,0.9404756061427132,0.9631915069506175,1278,0.9508928571428571,0.9380001134328037,0.9612154375270622,1305,0.9709821428571429,0.9605786090107841,0.9787010011502643,0.072
kul3,pooled,2,800,1.0,2000,1358,642,0.32099999999999995,10.056287920824644,1,2,0.0,66,0.048600883652430045,0.03838283775699583,0.06136552717993887,1292,0.9513991163475699,0.9386344728200611,0.9616171622430041,1292,0.9513991163475699,0.9386344728200611,0.9616171622430041,1292,0.9513991163475699,0.9386344728200611,0.9616171622430041,0.033
kul3,pooled,5,50,0.5,2000,2000,0,0.0,3.6952778945008786,4,5,0.056353331928578165,651,0.3255,0.30531626073663215,0.3463527887645251,1873,0.9365,0.9249532738540492,0.9463731438694168,1893,0.9465,0.935754264314357,0.955533812463484,1903,0.9515,0.9411889997479057,0.9600799065571228,0.3255
kul3,pooled,5,50,1.0,2000,2000,0,0.0,5.324253322076819,4,5,0.0,362,0.181,0.1647427755094818,0.1984803006559575,1638,0.819,0.8015196993440423,0.8352572244905181,1638,0.819,0.8015196993440423,0.8352572244905181,1638,0.819,0.8015196993440423,0.8352572244905181,0.181
kul3,pooled,5,800,0.5,2000,2000,0,0.0,2.705975855532201,4,5,0.060599129482214464,400,0.2,0.18305203450854435,0.2180981938602074,1923,0.9615,0.9521448929760082,0.9690856723833953,1916,0.958,0.9482955994324269,0.9659483852579451,1982,0.991,0.9858179592983869,0.9942995002714226,0.2
kul3,pooled,5,800,1.0,2000,2000,0,0.0,3.255303033346276,4,5,0.0,88,0.044,0.03585182041641652,0.05389652670408614,1912,0.956,0.9461034732959137,0.9641481795835833,1912,0.956,0.9461034732959137,0.9641481795835833,1912,0.956,0.9461034732959137,0.9641481795835833,0.044
kul3,reference,2,50,0.5,2000,1309,691,0.34550000000000003,30.89649819508765,1,2,0.03171480540935723,102,0.07792207792207792,0.06460500239828577,0.09370920791572655,1266,0.9671504965622613,0.9560454769673363,0.9755216911647566,1262,0.9640947288006112,0.9525813169106565,0.9728921984454295,1273,0.972498090145149,0.962161721500828,0.9800693389892776,0.051
kul3,reference,2,50,1.0,2000,1335,665,0.3325,44.19570735151311,1,2,0.0,62,0.04644194756554307,0.036396149547356496,0.05909048031343528,1273,0.9535580524344569,0.9409095196865648,0.9636038504526435,1273,0.9535580524344569,0.9409095196865648,0.9636038504526435,1273,0.9535580524344569,0.9409095196865648,0.9636038504526435,0.031
kul3,reference,2,800,0.5,2000,1344,656,0.32799999999999996,19.07638602758858,1,2,0.03171480540935723,135,0.10044642857142858,0.08549725931738993,0.1176731187924318,1293,0.9620535714285714,0.9504517056051269,0.9710216560220624,1299,0.9665178571428571,0.9554929020847112,0.9748835838094077,1316,0.9791666666666666,0.9700547300094674,0.9855472746409512,0.0675
kul3,reference,2,800,1.0,2000,1358,642,0.32099999999999995,16.91794998564682,1,2,0.0,50,0.036818851251840944,0.02803870645353876,0.04821206278843829,1308,0.9631811487481591,0.9517879372115617,0.9719612935464613,1308,0.9631811487481591,0.9517879372115617,0.9719612935464613,1308,0.9631811487481591,0.9517879372115617,0.9719612935464613,0.025
kul3,reference,5,50,0.5,2000,2000,0,0.0,8.945070014748659,4,5,0.06965598651237004,464,0.232,0.21402496734105125,0.2510025700017003,1980,0.99,0.9846040615409247,0.9935172321234472,1981,0.9905,0.9852096168457007,0.9939097597713902,1982,0.991,0.9858179592983869,0.9942995002714226,0.232
kul3,reference,5,50,1.0,2000,2000,0,0.0,13.587713630256168,4,5,0.0,174,0.087,0.07542647321668068,0.10015700783763422,1826,0.913,0.8998429921623659,0.9245735267833193,1826,0.913,0.8998429921623659,0.9245735267833193,1826,0.913,0.8998429921623659,0.9245735267833193,0.087
kul3,reference,5,800,0.5,2000,2000,0,0.0,5.232012119315747,4,5,0.07841474026132556,674,0.337,0.31661403832985313,0.3580109190838353,1931,0.9655,0.9565669231288751,0.9726483058522783,1923,0.9615,0.9521448929760082,0.9690856723833953,1982,0.991,0.9858179592983869,0.9942995002714226,0.337
kul3,reference,5,800,1.0,2000,2000,0,0.0,5.433347479822917,4,5,0.0,53,0.0265,0.020316920414969065,0.03449852336037745,1947,0.9735,0.9655014766396225,0.979683079585031,1947,0.9735,0.9655014766396225,0.979683079585031,1947,0.9735,0.9655014766396225,0.979683079585031,0.0265
smc,pooled,2,50,0.5,2000,1993,7,0.0034999999999999476,16.6717702465776,2,2,0.18486433367791888,84,0.042147516307074764,0.03417165783527132,0.05188497828955216,1940,0.9734069242348219,0.965380874771431,0.9796115239312859,1940,0.9734069242348219,0.965380874771431,0.9796115239312859,1947,0.9769192172604114,0.9693519987445065,0.9826514723386226,0.042
smc,pooled,2,50,1.0,2000,1992,8,0.0040000000000000036,21.48070633061871,2,2,0.0,60,0.030120481927710843,0.023472022463272294,0.03857772516240824,1932,0.9698795180722891,0.9614222748375918,0.9765279775367277,1932,0.9698795180722891,0.9614222748375918,0.9765279775367277,1932,0.9698795180722891,0.9614222748375918,0.9765279775367277,0.03
smc,pooled,2,800,0.5,2000,2000,0,0.0,14.362602406948257,2,2,0.17851447610834525,88,0.044,0.03585182041641652,0.05389652670408614,1964,0.982,0.9751819578651543,0.9869700085557177,1953,0.9765,0.9688912783026569,0.9822817756383091,1980,0.99,0.9846040615409247,0.9935172321234472,0.044
smc,pooled,2,800,1.0,2000,2000,0,0.0,8.465886479433028,2,2,0.0,55,0.0275,0.021188498165677007,0.03562311151510701,1945,0.9725,0.964376888484893,0.978811501834323,1945,0.9725,0.964376888484893,0.978811501834323,1945,0.9725,0.964376888484893,0.978811501834323,0.0275
smc,pooled,5,50,0.5,2000,2000,0,0.0,5.8866699498552535,5,5,0.2589153231098711,114,0.057,0.047662768878229574,0.06803573501296051,1960,0.98,0.9728813608112625,0.9852782737987344,1943,0.9715,0.9632547404683076,0.9779374839454709,1975,0.9875,0.9816119602893495,0.9915189186114289,0.057
smc,pooled,5,50,1.0,2000,2000,0,0.0,7.392202433155227,5,5,0.0,60,0.03,0.02337785471293825,0.03842416973143951,1940,0.97,0.9615758302685604,0.9766221452870616,1940,0.97,0.9615758302685604,0.9766221452870616,1940,0.97,0.9615758302685604,0.9766221452870616,0.03
smc,pooled,5,800,0.5,2000,2000,0,0.0,4.037939856131453,5,5,0.25944158982309085,146,0.073,0.06239935949340271,0.08523779888478729,1950,0.975,0.9671932285868021,0.9809855764960074,1921,0.9605,0.9510433073255731,0.9681910921283929,1981,0.9905,0.9852096168457007,0.9939097597713902,0.073
smc,pooled,5,800,1.0,2000,2000,0,0.0,3.3662935350432575,5,5,0.0,30,0.015,0.010527098037106688,0.021332437825708653,1970,0.985,0.9786675621742913,0.9894729019628932,1970,0.985,0.9786675621742913,0.9894729019628932,1970,0.985,0.9786675621742913,0.9894729019628932,0.015
smc,reference,2,50,0.5,2000,1987,13,0.00649999999999995,55.065203348810414,2,2,0.7665428652344541,136,0.06844489179667841,0.05815452748654633,0.08040068372755664,1944,0.9783593356819326,0.9709783380193053,0.9838942820868115,1940,0.9763462506290891,0.9686886610624421,0.9821655576965684,1946,0.9793658782083543,0.9721283112461284,0.9847535095335415,0.068
smc,reference,2,50,1.0,2000,1985,15,0.007499999999999951,50.423792785397616,2,2,0.0,55,0.027707808564231738,0.021349066766016174,0.03589102058021085,1930,0.9722921914357683,0.9641089794197891,0.9786509332339838,1930,0.9722921914357683,0.9641089794197891,0.9786509332339838,1930,0.9722921914357683,0.9641089794197891,0.9786509332339838,0.0275
smc,reference,2,800,0.5,2000,2000,0,0.0,45.15859917143449,2,2,0.7665428652344541,142,0.071,0.06054753478172682,0.08309729178558818,1980,0.99,0.9846040615409247,0.9935172321234472,1970,0.985,0.9786675621742913,0.9894729019628932,1988,0.994,0.9895415516630582,0.9965644056230637,0.071
smc,reference,2,800,1.0,2000,2000,0,0.0,16.959429527801234,2,2,0.0,70,0.035,0.027795569156293554,0.04398728481527167,1930,0.965,0.9560127151847282,0.9722044308437063,1930,0.965,0.9560127151847282,0.9722044308437063,1930,0.965,0.9560127151847282,0.9722044308437063,0.035
smc,reference,5,50,0.5,2000,2000,0,0.0,14.458705593330707,5,5,0.9049264069264069,456,0.228,0.21014474263502853,0.24689813108597303,1968,0.984,0.9775005335818276,0.9886437646499193,1981,0.9905,0.9852096168457007,0.9939097597713902,1978,0.989,0.9834005531702528,0.9927245745886817,0.228
smc,reference,5,50,1.0,2000,2000,0,0.0,16.22872003059097,5,5,0.0,54,0.027,0.020752396241488,0.035061130486577274,1946,0.973,0.9649388695134226,0.9792476037585119,1946,0.973,0.9649388695134226,0.9792476037585119,1946,0.973,0.9649388695134226,0.9792476037585119,0.027
smc,reference,5,800,0.5,2000,2000,0,0.0,11.435923274717492,5,5,0.9278371162868706,679,0.3395,0.31907189881601794,0.36054347336126424,1991,0.9955,0.9914694867812403,0.9976307193630382,1985,0.9925,0.9876620858637751,0.9954496225641908,1999,0.9995,0.9971731374967338,0.9999117322692944,0.3395
smc,reference,5,800,1.0,2000,2000,0,0.0,6.4248443301509335,5,5,0.0,48,0.024,0.018149556703294482,0.03167547230845831,1952,0.976,0.9683245276915415,0.9818504432967055,1952,0.976,0.9683245276915415,0.9818504432967055,1952,0.976,0.9683245276915415,0.9818504432967055,0.024
