cohort,pool,n_held_out,n_cells_mature,shift,seed,n_attempted,n_valid,n_abstained,abstention,median_width,source_patients_min,source_patients_max,median_abs_target_gap,n_rejected,rejection,rejection_low,rejection_high,n_cell_covered,cell_coverage,cell_coverage_low,cell_coverage_high,n_patient_covered,patient_coverage,patient_coverage_low,patient_coverage_high,n_draw_covered,draw_inclusion,draw_inclusion_low,draw_inclusion_high,unconditional_rejection
kul3,pooled,2,50,0.5,1,400,266,134,0.33499999999999996,14.412254005035152,1,2,0.028768152542469005,23,0.08646616541353383,0.05830686714226615,0.12639958618969968,254,0.9548872180451128,0.9228148126697782,0.9740080886650593,254,0.9548872180451128,0.9228148126697782,0.9740080886650593,258,0.9699248120300752,0.9417867247648888,0.9846832146306046,0.0575
kul3,pooled,2,50,0.5,2,400,266,134,0.33499999999999996,12.337575767353862,1,2,0.028768152542469005,26,0.09774436090225563,0.06757838709582165,0.13936334478163603,252,0.9473684210526315,0.9136064766329528,0.9683929056715568,252,0.9473684210526315,0.9136064766329528,0.9683929056715568,252,0.9473684210526315,0.9136064766329528,0.9683929056715568,0.065
kul3,pooled,2,50,0.5,20260831,400,243,157,0.39249999999999996,14.713653475966666,1,2,0.015513011844113578,18,0.07407407407407407,0.04736605935297165,0.11403899395954745,231,0.9506172839506173,0.915680695768295,0.9715284507271558,230,0.9465020576131687,0.9106344854440694,0.9684722944167196,232,0.9547325102880658,0.9207733472561066,0.9745381658740058,0.045
kul3,pooled,2,50,0.5,3,400,264,136,0.33999999999999997,14.642988143473655,1,2,0.028768152542469005,19,0.07196969696969698,0.0465553632949031,0.10966189673990279,255,0.9659090909090909,0.9364909064299773,0.9819628724701897,257,0.9734848484848485,0.9462900669936517,0.98709791969351,253,0.9583333333333334,0.9269423122641641,0.9765772588490084,0.0475
kul3,pooled,2,50,0.5,4,400,270,130,0.32499999999999996,13.956227254879831,1,2,0.028768152542469005,19,0.07037037037037037,0.0455101034111534,0.10728436022077999,265,0.9814814814814815,0.9573897786668156,0.9920647017456729,265,0.9814814814814815,0.9573897786668156,0.9920647017456729,263,0.9740740740740741,0.9474615848904624,0.9873859035156802,0.0475
kul3,pooled,2,50,1.0,1,400,264,136,0.33999999999999997,19.26149631307677,1,2,0.0,19,0.07196969696969698,0.0465553632949031,0.10966189673990279,245,0.928030303030303,0.8903381032600972,0.9534446367050968,245,0.928030303030303,0.8903381032600972,0.9534446367050968,245,0.928030303030303,0.8903381032600972,0.9534446367050968,0.0475
kul3,pooled,2,50,1.0,2,400,283,117,0.2925,23.846843121414015,1,2,0.0,15,0.053003533568904596,0.03238063050566878,0.08559903310303074,268,0.9469964664310954,0.9144009668969693,0.9676193694943311,268,0.9469964664310954,0.9144009668969693,0.9676193694943311,268,0.9469964664310954,0.9144009668969693,0.9676193694943311,0.0375
kul3,pooled,2,50,1.0,20260831,400,258,142,0.355,19.590448613193157,1,2,0.0,21,0.08139534883720931,0.05385190026072901,0.12122144002372842,237,0.9186046511627907,0.8787785599762715,0.9461480997392709,237,0.9186046511627907,0.8787785599762715,0.9461480997392709,237,0.9186046511627907,0.8787785599762715,0.9461480997392709,0.0525
kul3,pooled,2,50,1.0,3,400,262,138,0.345,22.404303633726933,1,2,0.0,16,0.061068702290076333,0.03793604832889387,0.09688663500910503,246,0.9389312977099237,0.903113364990895,0.9620639516711061,246,0.9389312977099237,0.903113364990895,0.9620639516711061,246,0.9389312977099237,0.903113364990895,0.9620639516711061,0.04
kul3,pooled,2,50,1.0,4,400,268,132,0.32999999999999996,22.34507700020596,1,2,0.0,13,0.048507462686567165,0.028564111880906896,0.08121111868970841,255,0.9514925373134329,0.9187888813102917,0.9714358881190931,255,0.9514925373134329,0.9187888813102917,0.9714358881190931,255,0.9514925373134329,0.9187888813102917,0.9714358881190931,0.0325
