cohort,pool,n_cells_mature,shift,method,n_attempted,n_valid,n_excluded,n_covered,n_draw_covered,n_rejected,coverage,draw_coverage,rejection,negative_rejection,positive_rejection,median_width,median_se_ratio,all_zero_fraction,rejection_se_under_half,fraction_se_under_half,coverage_low,coverage_high,draw_coverage_low,draw_coverage_high,rejection_low,rejection_high
smc,pooled,5,0.5,percentile200,5000,5000,0,2608,2502,3583,0.5216,0.5004,0.7166,0.7158,0.0008,1.3795937500000002,0.17860687543599726,0.4618,0.940200210748156,0.7592,0.5077426235054405,0.535424211770533,0.4865459799322185,0.5142534059062254,0.703946283274489,0.7289211482429122
smc,pooled,5,0.5,welch,5000,5000,0,2866,2822,3433,0.5732,0.5644,0.6866,0.6866,0.0,1.477986537023139,0.17860687543599726,0.4618,0.9041095890410958,0.7592,0.5594392388118837,0.5868483696233601,0.5506121469044448,0.5780889730850319,0.6736031495073234,0.6993103441267814
smc,pooled,5,1.0,percentile200,5000,5000,0,1695,1695,3305,0.339,0.339,0.661,0.6592,0.0018,1.5504000000000002,0.09423333715257878,0.3742,0.8490468830499742,0.7764,0.3260071538058271,0.35224004622048144,0.3260071538058271,0.35224004622048144,0.6477599537795187,0.6739928461941731
smc,pooled,5,1.0,welch,5000,5000,0,1821,1821,3179,0.3642,0.3642,0.6358,0.6356,0.0002,1.6795226646585966,0.09423333715257878,0.3742,0.8186501803194229,0.7764,0.35097088704825424,0.37763762080002344,0.35097088704825424,0.37763762080002344,0.6223623791999767,0.6490291129517459
smc,pooled,50,0.5,percentile200,5000,5000,0,4357,4504,2553,0.8714,0.9008,0.5106,0.5106,0.0,2.1642125000000005,0.7945091526783077,0.021,0.8767942583732058,0.1672,0.861835245006205,0.8803945059890066,0.8922039981973218,0.9087806119235207,0.4967412561092962,0.5244424686094687
smc,pooled,50,0.5,welch,5000,5000,0,4508,4622,2535,0.9016,0.9244,0.507,0.507,0.0,2.2844409234714727,0.7945091526783077,0.021,0.8181818181818182,0.1672,0.8930331434630062,0.9095502383347239,0.9167422893153674,0.9314060852736683,0.49314226535804945,0.5208469868147196
smc,pooled,50,1.0,percentile200,5000,5000,0,3731,3731,1269,0.7462,0.7462,0.2538,0.2464,0.0074,3.4912187500000007,0.7354405497235307,0.0088,0.7061349693251534,0.326,0.7339516639854107,0.7580703195768432,0.7339516639854107,0.7580703195768432,0.24192968042315685,0.2660483360145893
smc,pooled,50,1.0,welch,5000,5000,0,3827,3827,1173,0.7654,0.7654,0.2346,0.2336,0.001,3.7261523703237263,0.7354405497235307,0.0088,0.6662576687116565,0.326,0.7534534986144252,0.7769390051931384,0.7534534986144252,0.7769390051931384,0.22306099480686167,0.24654650138557474
smc,pooled,100,0.5,percentile200,5000,5000,0,4521,4785,2757,0.9042,0.957,0.5514,0.5514,0.0,1.8627312500000004,0.8936914525361583,0.0034,0.7813953488372093,0.043,0.8957290304689461,0.9120503592786698,0.9510175715099949,0.9622807489122229,0.5375801625665735,0.5651409176734747
smc,pooled,100,0.5,welch,5000,5000,0,4683,4861,2718,0.9366,0.9722,0.5436,0.5436,0.0,1.9396601997405007,0.8936914525361583,0.0034,0.6186046511627907,0.043,0.9295047307968795,0.9430249118646968,0.9672680036457926,0.9764069786372955,0.529765541421181,0.5573675149692099
smc,pooled,100,1.0,percentile200,5000,5000,0,4210,4210,790,0.842,0.842,0.158,0.1452,0.0128,3.0760562500000006,0.8561928567589233,0.001,0.6198547215496368,0.1652,0.8316279983435629,0.8518468935260181,0.8316279983435629,0.8518468935260181,0.14815310647398194,0.16837200165643718
smc,pooled,100,1.0,welch,5000,5000,0,4308,4308,692,0.8616,0.8616,0.1384,0.135,0.0034,3.207340441888574,0.8561928567589233,0.001,0.5556900726392252,0.1652,0.8517504598546636,0.8708943380986712,0.8517504598546636,0.8708943380986712,0.12910566190132883,0.14824954014533653
smc,pooled,800,0.5,percentile200,5000,5000,0,4616,4943,3679,0.9232,0.9886,0.7358,0.7348,0.001,1.2284875,0.9894683938068964,0.0,0.2,0.007,0.9154901932683602,0.9302600238053435,0.9852596468748426,0.9911901547844478,0.7234012523282772,0.747836699434434
smc,pooled,800,0.5,welch,5000,5000,0,4652,4971,3486,0.9304,0.9942,0.6972,0.6968,0.0004,1.262584648446547,0.9894683938068964,0.0,0.05714285714285714,0.007,0.9230110854228204,0.9371280767428745,0.9916826613677592,0.9959585420297463,0.6843169896785597,0.7097802286743098
smc,pooled,800,1.0,percentile200,5000,5000,0,4623,4623,377,0.9246,0.9246,0.0754,0.0382,0.0372,1.5663687500000003,0.994287843948596,0.0,0.12,0.005,0.9169510239725708,0.9315970435356867,0.9169510239725708,0.9315970435356867,0.06840295646431328,0.08304897602742921
smc,pooled,800,1.0,welch,5000,5000,0,4735,4735,265,0.947,0.947,0.053,0.027,0.026,1.5966675768192862,0.994287843948596,0.0,0.08,0.005,0.9404399659104586,0.9528737085506603,0.9404399659104586,0.9528737085506603,0.04712629144933971,0.059560034089541365
smc,reference,5,0.5,percentile200,5000,5000,0,3282,3251,2851,0.6564,0.6502,0.5702,0.5696,0.0006,8.419556250000001,0.5937657171631512,0.0382,0.9763097949886105,0.439,0.6431208594059883,0.6694390034255979,0.6368703279292213,0.6632990544064835,0.556429506986947,0.5838627076599671
smc,reference,5,0.5,welch,5000,5000,0,3514,3493,2433,0.7028,0.6986,0.4866,0.4866,0.0,13.386049130726057,0.5937657171631512,0.0382,0.9480637813211845,0.439,0.6899803532048784,0.7153082668862064,0.6857326194267716,0.7111624493606518,0.4727615420091286,0.5004590324029989
smc,reference,5,1.0,percentile200,5000,5000,0,3216,3216,1784,0.6432,0.6432,0.3568,0.3436,0.0132,15.501262500000001,0.5724554987361661,0.0148,0.7626892252894034,0.4492,0.6298162226981643,0.6563639074647714,0.6298162226981643,0.6563639074647714,0.3436360925352287,0.37018377730183577
smc,reference,5,1.0,welch,5000,5000,0,3498,3498,1502,0.6996,0.6996,0.3004,0.2994,0.001,26.080690244444874,0.5724554987361661,0.0148,0.6669634906500446,0.4492,0.6867438694479232,0.7121496639356101,0.6867438694479232,0.7121496639356101,0.2878503360643899,0.3132561305520769
smc,reference,50,0.5,percentile200,5000,5000,0,4551,4635,3808,0.9102,0.927,0.7616,0.7616,0.0,5.311887500000001,0.9522211737164403,0.0,1.0,0.0144,0.9019574140583319,0.9178127632659433,0.9194570255133758,0.9338873570255455,0.7495911856657239,0.7732071526766223
smc,reference,50,0.5,welch,5000,5000,0,4626,4674,3882,0.9252,0.9348,0.7764,0.7764,0.0,5.619023243508668,0.9522211737164403,0.0,1.0,0.0144,0.9175773181415895,0.9321698281243341,0.9276176956598908,0.9413147107286876,0.7646413610941877,0.7877342532705848
smc,reference,50,1.0,percentile200,5000,5000,0,4510,4510,490,0.902,0.902,0.098,0.0824,0.0156,9.398206250000001,0.9411661510936826,0.0,0.7488372093023256,0.043,0.8934477787157664,0.9099349889204078,0.8934477787157664,0.9099349889204078,0.09006501107959225,0.1065522212842337
smc,reference,50,1.0,welch,5000,5000,0,4557,4557,443,0.9114,0.9114,0.0886,0.0832,0.0054,10.113437451157221,0.9411661510936826,0.0,0.7581395348837209,0.043,0.9032043379171967,0.9189639969224105,0.9032043379171967,0.9189639969224105,0.0810360030775896,0.09679566208280341
smc,reference,100,0.5,percentile200,5000,5000,0,4666,4813,4441,0.9332,0.9626,0.8882,0.8882,0.0,4.2974562500000015,0.9820650409172996,0.0,1.0,0.0002,0.9259415798442768,0.9397932831905259,0.9569756727532717,0.9675140494071617,0.8791657201160876,0.8966382360937701
smc,reference,100,0.5,welch,5000,5000,0,4718,4852,4449,0.9436,0.9704,0.8898,0.8898,0.0,4.480575621876536,0.9820650409172996,0.0,1.0,0.0002,0.9368584836941273,0.9496604111402182,0.9653291213614875,0.9747486246486029,0.8808193154585309,0.8981821841051028
smc,reference,100,1.0,percentile200,5000,5000,0,4600,4600,400,0.92,0.92,0.08,0.0608,0.0192,7.287356250000004,0.9831000738763009,0.0,0.8571428571428571,0.007,0.9121538142988848,0.9272013160672674,0.9121538142988848,0.9272013160672674,0.07279868393273271,0.08784618570111528
smc,reference,100,1.0,welch,5000,5000,0,4649,4649,351,0.9298,0.9298,0.0702,0.0608,0.0094,7.60754369885975,0.9831000738763009,0.0,0.8285714285714286,0.007,0.9223835557535042,0.9365565276545248,0.9223835557535042,0.9365565276545248,0.0634434723454752,0.07761644424649589
smc,reference,800,0.5,percentile200,5000,5000,0,4673,4979,4979,0.9346,0.9958,0.9958,0.9958,0.0,2.7759437500000006,0.9974561682499108,0.0,,0.0,0.9274081178219609,0.9411245956473955,0.9935875211615961,0.9972512255896855,0.9935875211615961,0.9972512255896855
smc,reference,800,0.5,welch,5000,5000,0,4734,4990,4968,0.9468,0.998,0.9936,0.9936,0.0,2.8842729226109407,0.9974561682499108,0.0,,0.0,0.9402291004335007,0.9526848811083962,0.996322115723667,0.9989132531390561,0.9909793127482504,0.9954628118915895
smc,reference,800,1.0,percentile200,5000,5000,0,4689,4689,311,0.9378,0.9378,0.0622,0.0292,0.033,3.500375,0.99843682350264,0.0,,0.0,0.9307636084425643,0.9441641917343437,0.9307636084425643,0.9441641917343437,0.055835808265656296,0.06923639155743573
smc,reference,800,1.0,welch,5000,5000,0,4740,4740,260,0.948,0.948,0.052,0.0234,0.0286,3.6311619009550613,0.99843682350264,0.0,,0.0,0.9414946635808875,0.9538174754763412,0.9414946635808875,0.9538174754763412,0.04618252452365877,0.058505336419112416
kul3,pooled,5,0.5,percentile200,5000,5000,0,2761,2422,4000,0.5522,0.4844,0.8,0.7998,0.0002,1.63788125,0.16997827315062608,0.419,0.9128052955946131,0.8762,0.5383818554395197,0.5659379964774165,0.4705649980775969,0.49825895422308897,0.7886843227480312,0.8108550560849347
kul3,pooled,5,0.5,welch,5000,5000,0,3210,3145,3903,0.642,0.629,0.7806,0.7806,0.0,1.7196963231468791,0.16997827315062608,0.419,0.8908924902990185,0.8762,0.6286072583747001,0.6551747142729037,0.6155159014197054,0.64228603147847,0.7689161115280281,0.7918530541404059
kul3,pooled,5,1.0,percentile200,5000,5000,0,1404,1404,3596,0.2808,0.2808,0.7192,0.7184,0.0008,1.7332437500000006,0.08974731056277431,0.3064,0.8227210261108566,0.8732,0.26851569940426306,0.29342086112845006,0.26851569940426306,0.29342086112845006,0.70657913887155,0.7314843005957369
kul3,pooled,5,1.0,welch,5000,5000,0,1523,1523,3477,0.3046,0.3046,0.6954,0.6954,0.0,1.8259582019290033,0.08974731056277431,0.3064,0.7963811268896015,0.8732,0.2919971175955208,0.3175029003246075,0.2919971175955208,0.3175029003246075,0.6824970996753926,0.7080028824044792
kul3,pooled,50,0.5,percentile200,5000,5000,0,4233,4361,2450,0.8466,0.8722,0.49,0.4898,0.0002,2.1862500000000002,0.6567350601442974,0.0032,0.9022711631108052,0.2906,0.8363453682913166,0.85632246072037,0.8626592517668451,0.8811692709052544,0.47615672849574286,0.5038586255431584
kul3,pooled,50,0.5,welch,5000,5000,0,4485,4645,2448,0.897,0.929,0.4896,0.4896,0.0,2.248905767836984,0.6567350601442974,0.0032,0.8905712319339298,0.2906,0.888267788564487,0.9051226560911378,0.9215470809096299,0.9357942308215114,0.4757572615426232,0.5034587066578341
kul3,pooled,50,1.0,percentile200,5000,5000,0,3388,3388,1612,0.6776,0.6776,0.3224,0.3188,0.0036,3.13555625,0.5315641410932714,0.0008,0.6553578816714936,0.4834,0.6645126173572473,0.6904146949118684,0.6645126173572473,0.6904146949118684,0.30958530508813176,0.3354873826427527
kul3,pooled,50,1.0,welch,5000,5000,0,3461,3461,1539,0.6922,0.6922,0.3078,0.3078,0.0,3.3077034558927805,0.5315641410932714,0.0008,0.6326023996690112,0.4834,0.6792623068257333,0.7048425885465868,0.6792623068257333,0.7048425885465868,0.29515741145341334,0.3207376931742667
kul3,pooled,100,0.5,percentile200,5000,5000,0,4513,4743,2199,0.9026,0.9486,0.4398,0.4398,0.0,2.23574375,0.8598457560490338,0.0,0.8136482939632546,0.0762,0.8940698105097908,0.910512035884049,0.9421277832433311,0.9543834345715637,0.4260932000025433,0.45359923131164176
kul3,pooled,100,0.5,welch,5000,5000,0,4716,4883,2161,0.9432,0.9766,0.4322,0.4322,0.0,2.301592842380727,0.8598457560490338,0.0,0.8057742782152231,0.0762,0.936437570542497,0.9492819384534046,0.9720296233018809,0.9804386032040907,0.4185261916585212,0.44597790872522863
kul3,pooled,100,1.0,percentile200,5000,5000,0,3986,3986,1014,0.7972,0.7972,0.2028,0.1958,0.007,3.418587500000001,0.7828761833298525,0.0004,0.6012931034482759,0.2784,0.7858287653869215,0.8081149125769366,0.7858287653869215,0.8081149125769366,0.19188508742306348,0.21417123461307852
kul3,pooled,100,1.0,welch,5000,5000,0,4083,4083,917,0.8166,0.8166,0.1834,0.1824,0.001,3.6259354365819743,0.7828761833298525,0.0004,0.5617816091954023,0.2784,0.8056315771627294,0.8270823139656605,0.8056315771627294,0.8270823139656605,0.17291768603433957,0.19436842283727065
kul3,pooled,800,0.5,percentile200,5000,5000,0,4621,4961,2886,0.9242,0.9922,0.5772,0.577,0.0002,1.6407750000000005,0.9839037017135936,0.0,0.2903225806451613,0.0062,0.9165335695999792,0.9312151120698344,0.9893555304144359,0.9942887437908499,0.5634530156295555,0.5908284511901277
kul3,pooled,800,0.5,welch,5000,5000,0,4667,4977,2559,0.9334,0.9954,0.5118,0.5118,0.0,1.6916448489891365,0.9839037017135936,0.0,0.25806451612903225,0.0062,0.926151031491673,0.9399835244623516,0.9931066129381813,0.9969327479746563,0.4979410792582134,0.5256408029758833
kul3,pooled,800,1.0,percentile200,5000,5000,0,4673,4673,327,0.9346,0.9346,0.0654,0.0328,0.0326,2.1027312500000006,0.9916995011108842,0.0,0.14285714285714285,0.007,0.9274081178219609,0.9411245956473955,0.9274081178219609,0.9411245956473955,0.05887540435260451,0.07259188217803915
kul3,pooled,800,1.0,welch,5000,5000,0,4781,4781,219,0.9562,0.9562,0.0438,0.0226,0.0212,2.167262925677189,0.9916995011108842,0.0,0.11428571428571428,0.007,0.9501686465740613,0.9615309021712688,0.9501686465740613,0.9615309021712688,0.03846909782873126,0.04983135342593886
kul3,reference,5,0.5,percentile200,5000,5000,0,2254,2107,3479,0.4508,0.4214,0.6958,0.6948,0.001,3.34399375,0.18297799893934696,0.1934,0.9236702127659574,0.752,0.43705123464583845,0.4646243072255552,0.40777873710155876,0.4351419456442043,0.6829014997598487,0.708397868158467
kul3,reference,5,0.5,welch,5000,5000,0,2402,2221,3367,0.4804,0.4442,0.6734,0.6734,0.0,3.5591640109104894,0.18297799893934696,0.1934,0.8954787234042553,0.752,0.46657196954390573,0.49425812437234057,0.4304755949852284,0.45801008055184006,0.6602722553332648,0.6862615056321894
kul3,reference,5,1.0,percentile200,5000,5000,0,1919,1919,3081,0.3838,0.3838,0.6162,0.6126,0.0036,3.6829687500000006,0.10645466030731776,0.111,0.8046218487394958,0.7616,0.3704145049397722,0.3973639089922591,0.3704145049397722,0.3973639089922591,0.6026360910077408,0.6295854950602278
kul3,reference,5,1.0,welch,5000,5000,0,2051,2051,2949,0.4102,0.4102,0.5898,0.5898,0.0,4.022950210308923,0.10645466030731776,0.111,0.774422268907563,0.7616,0.39664031315418435,0.42389756611514806,0.39664031315418435,0.42389756611514806,0.576102433884852,0.6033596868458156
kul3,reference,50,0.5,percentile200,5000,5000,0,4315,4381,2373,0.863,0.8762,0.4746,0.4746,0.0,4.6940375,0.8412477647098007,0.0,0.9980276134122288,0.1014,0.8531901212860774,0.8722525271018112,0.8667810879050657,0.8850412931514733,0.46078365574791486,0.4884553435108942
kul3,reference,50,0.5,welch,5000,5000,0,4407,4444,2410,0.8814,0.8888,0.482,0.482,0.0,4.916199901395206,0.8412477647098007,0.0,0.9980276134122288,0.1014,0.8721441231931945,0.890070273763116,0.8797857515527971,0.8972172834147265,0.4681690744413195,0.49585856282870266
kul3,reference,50,1.0,percentile200,5000,5000,0,4049,4049,951,0.8098,0.8098,0.1902,0.1818,0.0084,8.056012500000001,0.8137341177295819,0.0,0.7370212765957447,0.235,0.7986855369229369,0.8204387949519056,0.7986855369229369,0.8204387949519056,0.17956120504809434,0.2013144630770631
kul3,reference,50,1.0,welch,5000,5000,0,4062,4062,938,0.8124,0.8124,0.1876,0.1866,0.001,8.555309726204737,0.8137341177295819,0.0,0.7548936170212766,0.235,0.8013407389958244,0.822979600828904,0.8013407389958244,0.822979600828904,0.177020399171096,0.19865926100417572
kul3,reference,100,0.5,percentile200,5000,5000,0,4547,4718,2770,0.9094,0.9436,0.554,0.554,0.0,4.096756250000001,0.9398417843503661,0.0,0.9615384615384616,0.0052,0.901126368366625,0.9170450372807623,0.9368584836941273,0.9496604111402182,0.5401857961489485,0.5677312920409854
kul3,reference,100,0.5,welch,5000,5000,0,4655,4819,2815,0.931,0.9638,0.563,0.563,0.0,4.237851444842262,0.9398417843503661,0.0,0.9615384615384616,0.0052,0.9236387658107825,0.9376994751125785,0.9582563043540389,0.9686315753217263,0.5492082430403719,0.5766950265145508
kul3,reference,100,1.0,percentile200,5000,5000,0,4394,4394,606,0.8788,0.8788,0.1212,0.109,0.0122,6.643387500000001,0.9279779671611896,0.0,0.8011869436201781,0.0674,0.8694619334857505,0.8875564555206743,0.8694619334857505,0.8875564555206743,0.11244354447932577,0.13053806651424954
kul3,reference,100,1.0,welch,5000,5000,0,4429,4429,571,0.8858,0.8858,0.1142,0.1112,0.003,6.9675054616670895,0.9279779671611896,0.0,0.8041543026706232,0.0674,0.8766863837753105,0.8943212574038835,0.8766863837753105,0.8943212574038835,0.1056787425961165,0.12331361622468957
kul3,reference,800,0.5,percentile200,5000,5000,0,4682,4971,4492,0.9364,0.9942,0.8984,0.8984,0.0,2.8637500000000014,0.9948826369671571,0.0,,0.0,0.929294985071857,0.9428349646704972,0.9916826613677592,0.9959585420297463,0.8897175483573514,0.906470746732827
kul3,reference,800,0.5,welch,5000,5000,0,4725,4978,4387,0.945,0.9956,0.8774,0.8774,0.0,2.954464021953034,0.9948826369671571,0.0,,0.0,0.9383323930382734,0.9509843522306258,0.9933466185850587,0.9970924352470009,0.8680182365834541,0.8862023019884167
kul3,reference,800,1.0,percentile200,5000,5000,0,4695,4695,305,0.939,0.939,0.061,0.0308,0.0302,3.7004750000000004,0.9974627914278765,0.0,,0.0,0.9320231909753299,0.9453027667169099,0.9320231909753299,0.9453027667169099,0.054697233283090105,0.06797680902467006
kul3,reference,800,1.0,welch,5000,5000,0,4763,4763,237,0.9526,0.9526,0.0474,0.0232,0.0242,3.8000116261052854,0.9974627914278765,0.0,,0.0,0.946354660519909,0.9581504156794253,0.946354660519909,0.9581504156794253,0.04184958432057469,0.05364533948009102
