cohort,pool,n_cells_mature,shift,comparison,metric,n_pairs,difference,mc_se
smc,pooled,5,0.5,welch_minus_percentile200,coverage,5000,0.0516,0.003179545549599879
smc,pooled,5,0.5,welch_minus_percentile200,rejection,5000,-0.03,0.0024127088993176463
smc,pooled,5,0.5,draw_minus_fixed_percentile200,coverage,5000,-0.0212,0.004279459633522787
smc,pooled,5,1.0,welch_minus_percentile200,coverage,5000,0.0252,0.0022347238751487023
smc,pooled,5,1.0,welch_minus_percentile200,rejection,5000,-0.0252,0.0022347238751487023
smc,pooled,5,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
smc,pooled,50,0.5,welch_minus_percentile200,coverage,5000,0.0302,0.002731132332341908
smc,pooled,50,0.5,welch_minus_percentile200,rejection,5000,-0.0036,0.0030198065908877796
smc,pooled,50,0.5,draw_minus_fixed_percentile200,coverage,5000,0.0294,0.0034452143475232535
smc,pooled,50,1.0,welch_minus_percentile200,coverage,5000,0.0192,0.002593765124968855
smc,pooled,50,1.0,welch_minus_percentile200,rejection,5000,-0.0192,0.002593765124968855
smc,pooled,50,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
smc,pooled,100,0.5,welch_minus_percentile200,coverage,5000,0.0324,0.002703980455192014
smc,pooled,100,0.5,welch_minus_percentile200,rejection,5000,-0.0078,0.0031921575734908197
smc,pooled,100,0.5,draw_minus_fixed_percentile200,coverage,5000,0.0528,0.0035334018998405994
smc,pooled,100,1.0,welch_minus_percentile200,coverage,5000,0.0196,0.0025931665782553412
smc,pooled,100,1.0,welch_minus_percentile200,rejection,5000,-0.0196,0.0025931665782553412
smc,pooled,100,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
smc,pooled,800,0.5,welch_minus_percentile200,coverage,5000,0.0072,0.002056812605858668
smc,pooled,800,0.5,welch_minus_percentile200,rejection,5000,-0.0386,0.003095791463415614
smc,pooled,800,0.5,draw_minus_fixed_percentile200,coverage,5000,0.0654,0.0034967146584587846
smc,pooled,800,1.0,welch_minus_percentile200,coverage,5000,0.0224,0.0023453673805248353
smc,pooled,800,1.0,welch_minus_percentile200,rejection,5000,-0.0224,0.0023453673805248353
smc,pooled,800,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
smc,reference,5,0.5,welch_minus_percentile200,coverage,5000,0.0464,0.0029885103712130176
smc,reference,5,0.5,welch_minus_percentile200,rejection,5000,-0.0836,0.00391475070146375
smc,reference,5,0.5,draw_minus_fixed_percentile200,coverage,5000,-0.0062,0.002008262588339668
smc,reference,5,1.0,welch_minus_percentile200,coverage,5000,0.0564,0.003262811239933669
smc,reference,5,1.0,welch_minus_percentile200,rejection,5000,-0.0564,0.003262811239933669
smc,reference,5,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
smc,reference,50,0.5,welch_minus_percentile200,coverage,5000,0.015,0.00227948222362921
smc,reference,50,0.5,welch_minus_percentile200,rejection,5000,0.0148,0.002552938600730503
smc,reference,50,0.5,draw_minus_fixed_percentile200,coverage,5000,0.0168,0.002550461325053591
smc,reference,50,1.0,welch_minus_percentile200,coverage,5000,0.0094,0.002250186807385917
smc,reference,50,1.0,welch_minus_percentile200,rejection,5000,-0.0094,0.002250186807385917
smc,reference,50,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
smc,reference,100,0.5,welch_minus_percentile200,coverage,5000,0.0104,0.0020345013735969396
smc,reference,100,0.5,welch_minus_percentile200,rejection,5000,0.0016,0.0019183910041513854
smc,reference,100,0.5,draw_minus_fixed_percentile200,coverage,5000,0.0294,0.0026586729224072803
smc,reference,100,1.0,welch_minus_percentile200,coverage,5000,0.0098,0.0022319920155931413
smc,reference,100,1.0,welch_minus_percentile200,rejection,5000,-0.0098,0.0022319920155931413
smc,reference,100,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
smc,reference,800,0.5,welch_minus_percentile200,coverage,5000,0.0122,0.0021566553346435515
smc,reference,800,0.5,welch_minus_percentile200,rejection,5000,-0.0022,0.0006626611682940181
smc,reference,800,0.5,draw_minus_fixed_percentile200,coverage,5000,0.0612,0.0033901638075657086
smc,reference,800,1.0,welch_minus_percentile200,coverage,5000,0.0102,0.0020248486369110357
smc,reference,800,1.0,welch_minus_percentile200,rejection,5000,-0.0102,0.0020248486369110357
smc,reference,800,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
kul3,pooled,5,0.5,welch_minus_percentile200,coverage,5000,0.0898,0.00415098038150333
kul3,pooled,5,0.5,welch_minus_percentile200,rejection,5000,-0.0194,0.0019507662847762064
kul3,pooled,5,0.5,draw_minus_fixed_percentile200,coverage,5000,-0.0678,0.005755628328122857
kul3,pooled,5,1.0,welch_minus_percentile200,coverage,5000,0.0238,0.002155838938396294
kul3,pooled,5,1.0,welch_minus_percentile200,rejection,5000,-0.0238,0.002155838938396294
kul3,pooled,5,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
kul3,pooled,50,0.5,welch_minus_percentile200,coverage,5000,0.0504,0.0032456239484824783
kul3,pooled,50,0.5,welch_minus_percentile200,rejection,5000,-0.0004,0.0024660057252259915
kul3,pooled,50,0.5,draw_minus_fixed_percentile200,coverage,5000,0.0256,0.004189563042573479
kul3,pooled,50,1.0,welch_minus_percentile200,coverage,5000,0.0146,0.0021350127999455147
kul3,pooled,50,1.0,welch_minus_percentile200,rejection,5000,-0.0146,0.0021350127999455147
kul3,pooled,50,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
kul3,pooled,100,0.5,welch_minus_percentile200,coverage,5000,0.0406,0.002889982422036497
kul3,pooled,100,0.5,welch_minus_percentile200,rejection,5000,-0.0076,0.0027549892909408268
kul3,pooled,100,0.5,draw_minus_fixed_percentile200,coverage,5000,0.046,0.0035410885136596504
kul3,pooled,100,1.0,welch_minus_percentile200,coverage,5000,0.0194,0.002631750980363554
kul3,pooled,100,1.0,welch_minus_percentile200,rejection,5000,-0.0194,0.002631750980363554
kul3,pooled,100,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
kul3,pooled,800,0.5,welch_minus_percentile200,coverage,5000,0.0092,0.0021316615106904834
kul3,pooled,800,0.5,welch_minus_percentile200,rejection,5000,-0.0654,0.0038558451094801065
kul3,pooled,800,0.5,draw_minus_fixed_percentile200,coverage,5000,0.068,0.0035605807878925336
kul3,pooled,800,1.0,welch_minus_percentile200,coverage,5000,0.0216,0.002380718707515204
kul3,pooled,800,1.0,welch_minus_percentile200,rejection,5000,-0.0216,0.002380718707515204
kul3,pooled,800,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
kul3,reference,5,0.5,welch_minus_percentile200,coverage,5000,0.0296,0.002574119892049267
kul3,reference,5,0.5,welch_minus_percentile200,rejection,5000,-0.0224,0.00209297016338527
kul3,reference,5,0.5,draw_minus_fixed_percentile200,coverage,5000,-0.0294,0.0031542222216522273
kul3,reference,5,1.0,welch_minus_percentile200,coverage,5000,0.0264,0.0022675176575421532
kul3,reference,5,1.0,welch_minus_percentile200,rejection,5000,-0.0264,0.0022675176575421532
kul3,reference,5,1.0,draw_minus_fixed_percentile200,coverage,5000,0.0,0.0
kul3,reference,50,0.5,welch_minus_percentile200,coverage,5000,0.0184,0.0022656819421385224
kul3,reference,50,0.5,welch_minus_percentile200,rejection,5000,0.0074,0.0024556575597607586
