cohort,pool,n_cells_mature,shift,method,seed,n_valid,coverage,rejection
smc,pooled,5,0.5,percentile200,202609160,1000,0.534,0.702
smc,pooled,5,0.5,percentile200,202609161,1000,0.523,0.738
smc,pooled,5,0.5,percentile200,202609162,1000,0.527,0.708
smc,pooled,5,0.5,percentile200,202609163,1000,0.517,0.727
smc,pooled,5,0.5,percentile200,202609164,1000,0.507,0.708
smc,pooled,5,0.5,welch,202609160,1000,0.584,0.663
smc,pooled,5,0.5,welch,202609161,1000,0.571,0.71
smc,pooled,5,0.5,welch,202609162,1000,0.586,0.674
smc,pooled,5,0.5,welch,202609163,1000,0.564,0.694
smc,pooled,5,0.5,welch,202609164,1000,0.561,0.692
smc,pooled,5,1.0,percentile200,202609160,1000,0.346,0.654
smc,pooled,5,1.0,percentile200,202609161,1000,0.359,0.641
smc,pooled,5,1.0,percentile200,202609162,1000,0.343,0.657
smc,pooled,5,1.0,percentile200,202609163,1000,0.336,0.664
smc,pooled,5,1.0,percentile200,202609164,1000,0.311,0.689
smc,pooled,5,1.0,welch,202609160,1000,0.374,0.626
smc,pooled,5,1.0,welch,202609161,1000,0.386,0.614
smc,pooled,5,1.0,welch,202609162,1000,0.366,0.634
smc,pooled,5,1.0,welch,202609163,1000,0.361,0.639
smc,pooled,5,1.0,welch,202609164,1000,0.334,0.666
smc,pooled,50,0.5,percentile200,202609160,1000,0.866,0.515
smc,pooled,50,0.5,percentile200,202609161,1000,0.868,0.502
smc,pooled,50,0.5,percentile200,202609162,1000,0.864,0.514
smc,pooled,50,0.5,percentile200,202609163,1000,0.89,0.491
smc,pooled,50,0.5,percentile200,202609164,1000,0.869,0.531
smc,pooled,50,0.5,welch,202609160,1000,0.902,0.52
smc,pooled,50,0.5,welch,202609161,1000,0.901,0.496
smc,pooled,50,0.5,welch,202609162,1000,0.891,0.516
smc,pooled,50,0.5,welch,202609163,1000,0.921,0.487
smc,pooled,50,0.5,welch,202609164,1000,0.893,0.516
smc,pooled,50,1.0,percentile200,202609160,1000,0.731,0.269
smc,pooled,50,1.0,percentile200,202609161,1000,0.748,0.252
smc,pooled,50,1.0,percentile200,202609162,1000,0.761,0.239
smc,pooled,50,1.0,percentile200,202609163,1000,0.739,0.261
smc,pooled,50,1.0,percentile200,202609164,1000,0.752,0.248
smc,pooled,50,1.0,welch,202609160,1000,0.749,0.251
smc,pooled,50,1.0,welch,202609161,1000,0.77,0.23
smc,pooled,50,1.0,welch,202609162,1000,0.778,0.222
smc,pooled,50,1.0,welch,202609163,1000,0.752,0.248
smc,pooled,50,1.0,welch,202609164,1000,0.778,0.222
smc,pooled,100,0.5,percentile200,202609160,1000,0.896,0.553
smc,pooled,100,0.5,percentile200,202609161,1000,0.895,0.553
smc,pooled,100,0.5,percentile200,202609162,1000,0.899,0.552
smc,pooled,100,0.5,percentile200,202609163,1000,0.924,0.554
smc,pooled,100,0.5,percentile200,202609164,1000,0.907,0.545
smc,pooled,100,0.5,welch,202609160,1000,0.929,0.536
smc,pooled,100,0.5,welch,202609161,1000,0.93,0.537
smc,pooled,100,0.5,welch,202609162,1000,0.933,0.551
smc,pooled,100,0.5,welch,202609163,1000,0.95,0.55
smc,pooled,100,0.5,welch,202609164,1000,0.941,0.544
smc,pooled,100,1.0,percentile200,202609160,1000,0.85,0.15
smc,pooled,100,1.0,percentile200,202609161,1000,0.839,0.161
smc,pooled,100,1.0,percentile200,202609162,1000,0.847,0.153
smc,pooled,100,1.0,percentile200,202609163,1000,0.852,0.148
smc,pooled,100,1.0,percentile200,202609164,1000,0.822,0.178
smc,pooled,100,1.0,welch,202609160,1000,0.863,0.137
smc,pooled,100,1.0,welch,202609161,1000,0.856,0.144
smc,pooled,100,1.0,welch,202609162,1000,0.87,0.13
smc,pooled,100,1.0,welch,202609163,1000,0.88,0.12
smc,pooled,100,1.0,welch,202609164,1000,0.839,0.161
smc,pooled,800,0.5,percentile200,202609160,1000,0.935,0.742
smc,pooled,800,0.5,percentile200,202609161,1000,0.921,0.726
smc,pooled,800,0.5,percentile200,202609162,1000,0.918,0.738
smc,pooled,800,0.5,percentile200,202609163,1000,0.921,0.751
smc,pooled,800,0.5,percentile200,202609164,1000,0.921,0.722
smc,pooled,800,0.5,welch,202609160,1000,0.941,0.704
smc,pooled,800,0.5,welch,202609161,1000,0.926,0.693
smc,pooled,800,0.5,welch,202609162,1000,0.926,0.705
smc,pooled,800,0.5,welch,202609163,1000,0.927,0.7
smc,pooled,800,0.5,welch,202609164,1000,0.932,0.684
smc,pooled,800,1.0,percentile200,202609160,1000,0.912,0.088
smc,pooled,800,1.0,percentile200,202609161,1000,0.926,0.074
smc,pooled,800,1.0,percentile200,202609162,1000,0.934,0.066
smc,pooled,800,1.0,percentile200,202609163,1000,0.935,0.065
smc,pooled,800,1.0,percentile200,202609164,1000,0.916,0.084
smc,pooled,800,1.0,welch,202609160,1000,0.943,0.057
smc,pooled,800,1.0,welch,202609161,1000,0.941,0.059
smc,pooled,800,1.0,welch,202609162,1000,0.955,0.045
smc,pooled,800,1.0,welch,202609163,1000,0.954,0.046
smc,pooled,800,1.0,welch,202609164,1000,0.942,0.058
smc,reference,5,0.5,percentile200,202609160,1000,0.646,0.591
smc,reference,5,0.5,percentile200,202609161,1000,0.642,0.551
smc,reference,5,0.5,percentile200,202609162,1000,0.659,0.579
smc,reference,5,0.5,percentile200,202609163,1000,0.677,0.559
smc,reference,5,0.5,percentile200,202609164,1000,0.658,0.571
smc,reference,5,0.5,welch,202609160,1000,0.683,0.5
smc,reference,5,0.5,welch,202609161,1000,0.7,0.48
smc,reference,5,0.5,welch,202609162,1000,0.707,0.488
smc,reference,5,0.5,welch,202609163,1000,0.714,0.479
smc,reference,5,0.5,welch,202609164,1000,0.71,0.486
smc,reference,5,1.0,percentile200,202609160,1000,0.649,0.351
smc,reference,5,1.0,percentile200,202609161,1000,0.617,0.383
smc,reference,5,1.0,percentile200,202609162,1000,0.64,0.36
smc,reference,5,1.0,percentile200,202609163,1000,0.669,0.331
smc,reference,5,1.0,percentile200,202609164,1000,0.641,0.359
smc,reference,5,1.0,welch,202609160,1000,0.702,0.298
smc,reference,5,1.0,welch,202609161,1000,0.681,0.319
smc,reference,5,1.0,welch,202609162,1000,0.699,0.301
smc,reference,5,1.0,welch,202609163,1000,0.721,0.279
smc,reference,5,1.0,welch,202609164,1000,0.695,0.305
smc,reference,50,0.5,percentile200,202609160,1000,0.914,0.757
smc,reference,50,0.5,percentile200,202609161,1000,0.91,0.764
smc,reference,50,0.5,percentile200,202609162,1000,0.915,0.764
smc,reference,50,0.5,percentile200,202609163,1000,0.919,0.766
smc,reference,50,0.5,percentile200,202609164,1000,0.893,0.757
smc,reference,50,0.5,welch,202609160,1000,0.922,0.769
smc,reference,50,0.5,welch,202609161,1000,0.925,0.784
smc,reference,50,0.5,welch,202609162,1000,0.936,0.778
smc,reference,50,0.5,welch,202609163,1000,0.931,0.786
smc,reference,50,0.5,welch,202609164,1000,0.912,0.765
smc,reference,50,1.0,percentile200,202609160,1000,0.891,0.109
smc,reference,50,1.0,percentile200,202609161,1000,0.902,0.098
smc,reference,50,1.0,percentile200,202609162,1000,0.91,0.09
smc,reference,50,1.0,percentile200,202609163,1000,0.901,0.099
smc,reference,50,1.0,percentile200,202609164,1000,0.906,0.094
smc,reference,50,1.0,welch,202609160,1000,0.896,0.104
smc,reference,50,1.0,welch,202609161,1000,0.92,0.08
smc,reference,50,1.0,welch,202609162,1000,0.915,0.085
smc,reference,50,1.0,welch,202609163,1000,0.911,0.089
smc,reference,50,1.0,welch,202609164,1000,0.915,0.085
smc,reference,100,0.5,percentile200,202609160,1000,0.939,0.895
smc,reference,100,0.5,percentile200,202609161,1000,0.925,0.873
smc,reference,100,0.5,percentile200,202609162,1000,0.93,0.885
smc,reference,100,0.5,percentile200,202609163,1000,0.937,0.887
smc,reference,100,0.5,percentile200,202609164,1000,0.935,0.901
smc,reference,100,0.5,welch,202609160,1000,0.955,0.898
smc,reference,100,0.5,welch,202609161,1000,0.941,0.879
smc,reference,100,0.5,welch,202609162,1000,0.936,0.885
smc,reference,100,0.5,welch,202609163,1000,0.946,0.894
smc,reference,100,0.5,welch,202609164,1000,0.94,0.893
smc,reference,100,1.0,percentile200,202609160,1000,0.92,0.08
smc,reference,100,1.0,percentile200,202609161,1000,0.91,0.09
smc,reference,100,1.0,percentile200,202609162,1000,0.921,0.079
smc,reference,100,1.0,percentile200,202609163,1000,0.923,0.077
smc,reference,100,1.0,percentile200,202609164,1000,0.926,0.074
smc,reference,100,1.0,welch,202609160,1000,0.927,0.073
smc,reference,100,1.0,welch,202609161,1000,0.923,0.077
smc,reference,100,1.0,welch,202609162,1000,0.924,0.076
smc,reference,100,1.0,welch,202609163,1000,0.937,0.063
smc,reference,100,1.0,welch,202609164,1000,0.938,0.062
smc,reference,800,0.5,percentile200,202609160,1000,0.921,0.994
smc,reference,800,0.5,percentile200,202609161,1000,0.933,0.999
smc,reference,800,0.5,percentile200,202609162,1000,0.934,0.997
smc,reference,800,0.5,percentile200,202609163,1000,0.942,0.996
smc,reference,800,0.5,percentile200,202609164,1000,0.943,0.993
smc,reference,800,0.5,welch,202609160,1000,0.94,0.993
smc,reference,800,0.5,welch,202609161,1000,0.943,0.993
smc,reference,800,0.5,welch,202609162,1000,0.951,0.996
smc,reference,800,0.5,welch,202609163,1000,0.952,0.995
smc,reference,800,0.5,welch,202609164,1000,0.948,0.991
smc,reference,800,1.0,percentile200,202609160,1000,0.933,0.067
smc,reference,800,1.0,percentile200,202609161,1000,0.946,0.054
smc,reference,800,1.0,percentile200,202609162,1000,0.941,0.059
smc,reference,800,1.0,percentile200,202609163,1000,0.93,0.07
smc,reference,800,1.0,percentile200,202609164,1000,0.939,0.061
smc,reference,800,1.0,welch,202609160,1000,0.942,0.058
smc,reference,800,1.0,welch,202609161,1000,0.956,0.044
smc,reference,800,1.0,welch,202609162,1000,0.945,0.055
smc,reference,800,1.0,welch,202609163,1000,0.938,0.062
smc,reference,800,1.0,welch,202609164,1000,0.959,0.041
kul3,pooled,5,0.5,percentile200,202609160,1000,0.577,0.8
kul3,pooled,5,0.5,percentile200,202609161,1000,0.542,0.809
kul3,pooled,5,0.5,percentile200,202609162,1000,0.566,0.794
kul3,pooled,5,0.5,percentile200,202609163,1000,0.527,0.808
kul3,pooled,5,0.5,percentile200,202609164,1000,0.549,0.789
kul3,pooled,5,0.5,welch,202609160,1000,0.66,0.782
kul3,pooled,5,0.5,welch,202609161,1000,0.638,0.787
kul3,pooled,5,0.5,welch,202609162,1000,0.644,0.78
kul3,pooled,5,0.5,welch,202609163,1000,0.625,0.786
kul3,pooled,5,0.5,welch,202609164,1000,0.643,0.768
kul3,pooled,5,1.0,percentile200,202609160,1000,0.27,0.73
kul3,pooled,5,1.0,percentile200,202609161,1000,0.287,0.713
kul3,pooled,5,1.0,percentile200,202609162,1000,0.285,0.715
kul3,pooled,5,1.0,percentile200,202609163,1000,0.271,0.729
kul3,pooled,5,1.0,percentile200,202609164,1000,0.291,0.709
kul3,pooled,5,1.0,welch,202609160,1000,0.291,0.709
kul3,pooled,5,1.0,welch,202609161,1000,0.31,0.69
kul3,pooled,5,1.0,welch,202609162,1000,0.304,0.696
kul3,pooled,5,1.0,welch,202609163,1000,0.298,0.702
kul3,pooled,5,1.0,welch,202609164,1000,0.32,0.68
kul3,pooled,50,0.5,percentile200,202609160,1000,0.844,0.502
kul3,pooled,50,0.5,percentile200,202609161,1000,0.834,0.489
kul3,pooled,50,0.5,percentile200,202609162,1000,0.861,0.475
kul3,pooled,50,0.5,percentile200,202609163,1000,0.844,0.488
kul3,pooled,50,0.5,percentile200,202609164,1000,0.85,0.496
kul3,pooled,50,0.5,welch,202609160,1000,0.891,0.5
kul3,pooled,50,0.5,welch,202609161,1000,0.892,0.49
kul3,pooled,50,0.5,welch,202609162,1000,0.899,0.476
kul3,pooled,50,0.5,welch,202609163,1000,0.904,0.496
kul3,pooled,50,0.5,welch,202609164,1000,0.899,0.486
kul3,pooled,50,1.0,percentile200,202609160,1000,0.681,0.319
kul3,pooled,50,1.0,percentile200,202609161,1000,0.679,0.321
kul3,pooled,50,1.0,percentile200,202609162,1000,0.671,0.329
kul3,pooled,50,1.0,percentile200,202609163,1000,0.681,0.319
kul3,pooled,50,1.0,percentile200,202609164,1000,0.676,0.324
kul3,pooled,50,1.0,welch,202609160,1000,0.699,0.301
