cohort,pool,n_cells_mature,shift,method,n_attempted,n_valid,n_excluded,median_width,n_covered,coverage,coverage_low,coverage_high,n_rejected,rejection,rejection_low,rejection_high
kul3,pooled,30,0.5,percentile200,2000,2000,0,2.0633020833333333,1562,0.781,0.7623455696749166,0.7985770497530191,1127,0.5635,0.5416631431550185,0.5850933918402623
kul3,pooled,30,0.5,percentile2000,2000,2000,0,2.095527083333333,1582,0.791,0.7726310318046226,0.8082532466776882,1116,0.558,0.536144266282096,0.5796333562332788
kul3,pooled,30,0.5,bca2000,2000,2000,0,2.2211028128898738,1452,0.726,0.7060338412002534,0.7450996534286203,1087,0.5435,0.5216074075925461,0.5652258092939848
kul3,pooled,30,0.5,bootstrap_t2000,2000,2000,0,2.3518861106078286,1505,0.7525,0.7331142952820159,0.7709175958409512,1103,0.5515,0.5296254350233154,0.5731771091067155
kul3,pooled,30,0.5,welch,2000,2000,0,2.139609021565327,1674,0.837,0.8201687132797912,0.8525391968526441,1121,0.5605,0.5386525115661582,0.5821155257128101
kul3,pooled,30,1.0,percentile200,2000,2000,0,2.874335416666667,1191,0.5955,0.5738271246983444,0.6168067192709363,809,0.4045,0.38319328072906367,0.4261728753016556
kul3,pooled,30,1.0,percentile2000,2000,2000,0,2.9510875,1199,0.5995,0.5778542087691927,0.620764298821838,801,0.4005,0.37923570117816197,0.4221457912308073
kul3,pooled,30,1.0,bca2000,2000,2000,0,3.2083096431402547,1194,0.597,0.5753371075913402,0.6182909852360966,806,0.403,0.38170901476390334,0.4246628924086597
kul3,pooled,30,1.0,bootstrap_t2000,2000,2000,0,3.5182940444080897,1193,0.5965,0.5748337568371767,0.6177962530375415,807,0.4035,0.38220374696245857,0.4251662431628232
kul3,pooled,30,1.0,welch,2000,2000,0,3.0532919783778127,1213,0.6065,0.584905185237529,0.6276864836915642,787,0.3935,0.3723135163084358,0.415094814762471
kul3,pooled,50,0.5,percentile200,2000,2000,0,2.1672875,1667,0.8335,0.8165372993335623,0.849184030129842,994,0.497,0.4751140951980067,0.5188974070856807
kul3,pooled,50,0.5,percentile2000,2000,2000,0,2.2079937499999995,1688,0.844,0.8274395607225219,0.859241510747976,997,0.4985,0.476610924647677,0.5203948264941666
kul3,pooled,50,0.5,bca2000,2000,2000,0,2.3420164866913202,1550,0.775,0.7561817473250264,0.7927638766702844,967,0.4835,0.4616514826351063,0.5054117799251748
kul3,pooled,50,0.5,bootstrap_t2000,2000,2000,0,2.478108829622055,1598,0.799,0.7808710507776225,0.8159825549481882,993,0.4965,0.4746151957501872,0.5183982235807815
kul3,pooled,50,0.5,welch,2000,2000,0,2.24901901319433,1764,0.882,0.8671236116591076,0.8954117642180152,995,0.4975,0.4756130164970905,0.5193965687393156
kul3,pooled,50,1.0,percentile200,2000,2000,0,3.0899687500000006,1365,0.6825,0.6617654738724162,0.7025348038699263,635,0.3175,0.2974651961300736,0.33823452612758365
kul3,pooled,50,1.0,percentile2000,2000,2000,0,3.1139562499999967,1382,0.691,0.6703987237896356,0.7108689641489256,618,0.309,0.28913103585107425,0.3296012762103643
