cohort,pool,n_cells_mature,shift,n_studies,bca_undefined,bca_tail_under_10,median_bca_min_tail_count,studies_with_bad_pivots
kul3,pooled,30,0.5,2000,0,729,16.059680526369124,0
kul3,pooled,30,1.0,2000,0,971,10.760656332472493,0
kul3,pooled,50,0.5,2000,0,706,15.337847445156399,0
kul3,pooled,50,1.0,2000,0,997,10.033705610204112,0
kul3,reference,30,0.5,2000,0,734,15.021382154033702,0
kul3,reference,30,1.0,2000,0,1126,8.414847038038298,0
kul3,reference,50,0.5,2000,0,455,19.283473838906716,0
kul3,reference,50,1.0,2000,0,977,10.18784443115528,0
smc,pooled,30,0.5,2000,0,616,16.258178072017017,0
smc,pooled,30,1.0,2000,0,968,10.366797453301757,0
smc,pooled,50,0.5,2000,0,518,18.478317803511835,0
smc,pooled,50,1.0,2000,0,807,12.033659266854269,0
smc,reference,30,0.5,2000,0,294,23.182355504016705,0
smc,reference,30,1.0,2000,0,535,16.98972778971264,0
smc,reference,50,0.5,2000,0,104,27.311397272185122,0
smc,reference,50,1.0,2000,0,271,20.86144931899281,0
