cohort,pool,n_cells_mature,shift,comparison,metric,n_pairs,difference,mc_se
kul3,pooled,30,0.5,percentile200_minus_percentile2000,coverage,2000,-0.01,0.0033846311267155776
kul3,pooled,30,0.5,percentile200_minus_percentile2000,rejection,2000,0.0055,0.002781859876447068
kul3,pooled,30,0.5,bca2000_minus_percentile2000,coverage,2000,-0.065,0.005559042316419067
kul3,pooled,30,0.5,bca2000_minus_percentile2000,rejection,2000,-0.0145,0.003263464432171741
kul3,pooled,30,0.5,bootstrap_t2000_minus_percentile2000,coverage,2000,-0.0385,0.004529805135685601
kul3,pooled,30,0.5,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0065,0.0027807807124412636
kul3,pooled,30,0.5,welch_minus_percentile2000,coverage,2000,0.046,0.0047384835774018095
kul3,pooled,30,0.5,welch_minus_percentile2000,rejection,2000,0.0025,0.002397863606408311
kul3,pooled,30,1.0,percentile200_minus_percentile2000,coverage,2000,-0.004,0.0028277195757358087
kul3,pooled,30,1.0,percentile200_minus_percentile2000,rejection,2000,0.004,0.0028277195757358087
kul3,pooled,30,1.0,bca2000_minus_percentile2000,coverage,2000,-0.0025,0.00304162797698456
kul3,pooled,30,1.0,bca2000_minus_percentile2000,rejection,2000,0.0025,0.00304162797698456
kul3,pooled,30,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,-0.003,0.00244918338423745
kul3,pooled,30,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,0.003,0.00244918338423745
kul3,pooled,30,1.0,welch_minus_percentile2000,coverage,2000,0.007,0.002641777714863113
kul3,pooled,30,1.0,welch_minus_percentile2000,rejection,2000,-0.007,0.002641777714863113
kul3,pooled,50,0.5,percentile200_minus_percentile2000,coverage,2000,-0.0105,0.003899035295828836
kul3,pooled,50,0.5,percentile200_minus_percentile2000,rejection,2000,-0.0015,0.003428520435433935
kul3,pooled,50,0.5,bca2000_minus_percentile2000,coverage,2000,-0.069,0.005712776724934599
kul3,pooled,50,0.5,bca2000_minus_percentile2000,rejection,2000,-0.015,0.003520468271185555
kul3,pooled,50,0.5,bootstrap_t2000_minus_percentile2000,coverage,2000,-0.045,0.004690255776567501
kul3,pooled,50,0.5,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.002,0.0030826533012468073
kul3,pooled,50,0.5,welch_minus_percentile2000,coverage,2000,0.038,0.0042763469891703
kul3,pooled,50,0.5,welch_minus_percentile2000,rejection,2000,-0.001,0.0027392063861295494
kul3,pooled,50,1.0,percentile200_minus_percentile2000,coverage,2000,-0.0085,0.002778080968390495
kul3,pooled,50,1.0,percentile200_minus_percentile2000,rejection,2000,0.0085,0.002778080968390495
kul3,pooled,50,1.0,bca2000_minus_percentile2000,coverage,2000,-0.013,0.0034527468384411243
kul3,pooled,50,1.0,bca2000_minus_percentile2000,rejection,2000,0.013,0.0034527468384411243
kul3,pooled,50,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,-0.009,0.002731891582000996
kul3,pooled,50,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,0.009,0.002731891582000996
kul3,pooled,50,1.0,welch_minus_percentile2000,coverage,2000,0.002,0.0026460349110272877
kul3,pooled,50,1.0,welch_minus_percentile2000,rejection,2000,-0.002,0.0026460349110272877
kul3,reference,30,0.5,percentile200_minus_percentile2000,coverage,2000,-0.0055,0.0031999992183590845
kul3,reference,30,0.5,percentile200_minus_percentile2000,rejection,2000,0.006,0.003672702597840736
kul3,reference,30,0.5,bca2000_minus_percentile2000,coverage,2000,-0.0205,0.0035420542166992616
kul3,reference,30,0.5,bca2000_minus_percentile2000,rejection,2000,-0.0575,0.0052545866003112065
kul3,reference,30,0.5,bootstrap_t2000_minus_percentile2000,coverage,2000,-0.01,0.002540320179289739
kul3,reference,30,0.5,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0495,0.004851457855290596
kul3,reference,30,0.5,welch_minus_percentile2000,coverage,2000,0.0115,0.0028614627351220643
kul3,reference,30,0.5,welch_minus_percentile2000,rejection,2000,0.018,0.0029736208922129435
kul3,reference,30,1.0,percentile200_minus_percentile2000,coverage,2000,-0.0055,0.002956221341901035
kul3,reference,30,1.0,percentile200_minus_percentile2000,rejection,2000,0.0055,0.002956221341901035
kul3,reference,30,1.0,bca2000_minus_percentile2000,coverage,2000,0.0175,0.004594282176179122
kul3,reference,30,1.0,bca2000_minus_percentile2000,rejection,2000,-0.0175,0.004594282176179122
kul3,reference,30,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,0.0285,0.004105155435616937
kul3,reference,30,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0285,0.004105155435616937
kul3,reference,30,1.0,welch_minus_percentile2000,coverage,2000,-0.006,0.00264300827588057
kul3,reference,30,1.0,welch_minus_percentile2000,rejection,2000,0.006,0.00264300827588057
kul3,reference,50,0.5,percentile200_minus_percentile2000,coverage,2000,-0.01,0.003309906001515668
kul3,reference,50,0.5,percentile200_minus_percentile2000,rejection,2000,0.0115,0.004381035463890692
kul3,reference,50,0.5,bca2000_minus_percentile2000,coverage,2000,-0.019,0.003914992156031846
kul3,reference,50,0.5,bca2000_minus_percentile2000,rejection,2000,-0.0705,0.005725492610493563
kul3,reference,50,0.5,bootstrap_t2000_minus_percentile2000,coverage,2000,-0.0115,0.0032694372007739956
kul3,reference,50,0.5,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0595,0.005290923542820098
kul3,reference,50,0.5,welch_minus_percentile2000,coverage,2000,0.0145,0.002854636487319772
kul3,reference,50,0.5,welch_minus_percentile2000,rejection,2000,0.023,0.0034265683541033687
kul3,reference,50,1.0,percentile200_minus_percentile2000,coverage,2000,-0.005,0.003315568804632038
kul3,reference,50,1.0,percentile200_minus_percentile2000,rejection,2000,0.005,0.003315568804632038
kul3,reference,50,1.0,bca2000_minus_percentile2000,coverage,2000,0.012,0.004789516649398708
kul3,reference,50,1.0,bca2000_minus_percentile2000,rejection,2000,-0.012,0.004789516649398708
kul3,reference,50,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,0.0205,0.0042483996339474535
kul3,reference,50,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0205,0.0042483996339474535
kul3,reference,50,1.0,welch_minus_percentile2000,coverage,2000,-0.004,0.0029148324349886788
kul3,reference,50,1.0,welch_minus_percentile2000,rejection,2000,0.004,0.0029148324349886788
