cohort,pool,n_cells_mature,shift,method,seed,n_attempted,n_valid,n_covered,n_rejected
kul3,pooled,30,0.5,percentile200,202609170,400,400,312,216
kul3,pooled,30,0.5,percentile200,202609171,400,400,317,229
kul3,pooled,30,0.5,percentile200,202609172,400,400,308,228
kul3,pooled,30,0.5,percentile200,202609173,400,400,298,232
kul3,pooled,30,0.5,percentile200,202609174,400,400,327,222
kul3,pooled,30,0.5,percentile2000,202609170,400,400,315,216
kul3,pooled,30,0.5,percentile2000,202609171,400,400,322,226
kul3,pooled,30,0.5,percentile2000,202609172,400,400,310,227
kul3,pooled,30,0.5,percentile2000,202609173,400,400,304,231
kul3,pooled,30,0.5,percentile2000,202609174,400,400,331,216
kul3,pooled,30,0.5,bca2000,202609170,400,400,288,213
kul3,pooled,30,0.5,bca2000,202609171,400,400,294,219
kul3,pooled,30,0.5,bca2000,202609172,400,400,282,223
kul3,pooled,30,0.5,bca2000,202609173,400,400,278,222
kul3,pooled,30,0.5,bca2000,202609174,400,400,310,210
kul3,pooled,30,0.5,bootstrap_t2000,202609170,400,400,304,214
kul3,pooled,30,0.5,bootstrap_t2000,202609171,400,400,309,222
kul3,pooled,30,0.5,bootstrap_t2000,202609172,400,400,290,227
kul3,pooled,30,0.5,bootstrap_t2000,202609173,400,400,287,227
kul3,pooled,30,0.5,bootstrap_t2000,202609174,400,400,315,213
kul3,pooled,30,0.5,welch,202609170,400,400,332,215
kul3,pooled,30,0.5,welch,202609171,400,400,342,227
kul3,pooled,30,0.5,welch,202609172,400,400,330,226
kul3,pooled,30,0.5,welch,202609173,400,400,324,234
kul3,pooled,30,0.5,welch,202609174,400,400,346,219
kul3,pooled,30,1.0,percentile200,202609170,400,400,246,154
kul3,pooled,30,1.0,percentile200,202609171,400,400,234,166
kul3,pooled,30,1.0,percentile200,202609172,400,400,232,168
kul3,pooled,30,1.0,percentile200,202609173,400,400,240,160
kul3,pooled,30,1.0,percentile200,202609174,400,400,239,161
kul3,pooled,30,1.0,percentile2000,202609170,400,400,247,153
kul3,pooled,30,1.0,percentile2000,202609171,400,400,235,165
kul3,pooled,30,1.0,percentile2000,202609172,400,400,233,167
kul3,pooled,30,1.0,percentile2000,202609173,400,400,240,160
kul3,pooled,30,1.0,percentile2000,202609174,400,400,244,156
kul3,pooled,30,1.0,bca2000,202609170,400,400,248,152
kul3,pooled,30,1.0,bca2000,202609171,400,400,234,166
kul3,pooled,30,1.0,bca2000,202609172,400,400,233,167
kul3,pooled,30,1.0,bca2000,202609173,400,400,235,165
kul3,pooled,30,1.0,bca2000,202609174,400,400,244,156
kul3,pooled,30,1.0,bootstrap_t2000,202609170,400,400,247,153
kul3,pooled,30,1.0,bootstrap_t2000,202609171,400,400,236,164
kul3,pooled,30,1.0,bootstrap_t2000,202609172,400,400,233,167
kul3,pooled,30,1.0,bootstrap_t2000,202609173,400,400,236,164
kul3,pooled,30,1.0,bootstrap_t2000,202609174,400,400,241,159
kul3,pooled,30,1.0,welch,202609170,400,400,245,155
kul3,pooled,30,1.0,welch,202609171,400,400,236,164
kul3,pooled,30,1.0,welch,202609172,400,400,240,160
kul3,pooled,30,1.0,welch,202609173,400,400,246,154
kul3,pooled,30,1.0,welch,202609174,400,400,246,154
kul3,pooled,50,0.5,percentile200,202609170,400,400,320,211
kul3,pooled,50,0.5,percentile200,202609171,400,400,337,201
kul3,pooled,50,0.5,percentile200,202609172,400,400,337,196
kul3,pooled,50,0.5,percentile200,202609173,400,400,333,188
kul3,pooled,50,0.5,percentile200,202609174,400,400,340,198
kul3,pooled,50,0.5,percentile2000,202609170,400,400,326,214
kul3,pooled,50,0.5,percentile2000,202609171,400,400,336,199
kul3,pooled,50,0.5,percentile2000,202609172,400,400,350,197
kul3,pooled,50,0.5,percentile2000,202609173,400,400,333,190
kul3,pooled,50,0.5,percentile2000,202609174,400,400,343,197
kul3,pooled,50,0.5,bca2000,202609170,400,400,291,209
kul3,pooled,50,0.5,bca2000,202609171,400,400,307,189
kul3,pooled,50,0.5,bca2000,202609172,400,400,317,194
kul3,pooled,50,0.5,bca2000,202609173,400,400,314,183
kul3,pooled,50,0.5,bca2000,202609174,400,400,321,192
kul3,pooled,50,0.5,bootstrap_t2000,202609170,400,400,305,214
kul3,pooled,50,0.5,bootstrap_t2000,202609171,400,400,319,198
kul3,pooled,50,0.5,bootstrap_t2000,202609172,400,400,329,194
kul3,pooled,50,0.5,bootstrap_t2000,202609173,400,400,319,190
kul3,pooled,50,0.5,bootstrap_t2000,202609174,400,400,326,197
kul3,pooled,50,0.5,welch,202609170,400,400,346,213
kul3,pooled,50,0.5,welch,202609171,400,400,350,197
kul3,pooled,50,0.5,welch,202609172,400,400,363,200
kul3,pooled,50,0.5,welch,202609173,400,400,350,191
kul3,pooled,50,0.5,welch,202609174,400,400,355,194
kul3,pooled,50,1.0,percentile200,202609170,400,400,272,128
kul3,pooled,50,1.0,percentile200,202609171,400,400,268,132
kul3,pooled,50,1.0,percentile200,202609172,400,400,272,128
kul3,pooled,50,1.0,percentile200,202609173,400,400,270,130
kul3,pooled,50,1.0,percentile200,202609174,400,400,283,117
kul3,pooled,50,1.0,percentile2000,202609170,400,400,275,125
kul3,pooled,50,1.0,percentile2000,202609171,400,400,271,129
kul3,pooled,50,1.0,percentile2000,202609172,400,400,275,125
kul3,pooled,50,1.0,percentile2000,202609173,400,400,274,126
kul3,pooled,50,1.0,percentile2000,202609174,400,400,287,113
