cohort,pool,pair_number,n_source_cells,mean_expression,variance_expression,zero_fraction,squared_cv
smc,pooled,1,956,1.7667364016736402,203.1893119430682,0.8723849372384938,65.09645598009759
smc,pooled,2,1460,1.0061643835616438,154.00886610996432,0.9445205479452055,152.12754030309165
smc,pooled,3,1048,7.762404580152672,1295.0284720805896,0.8492366412213741,21.492491691942476
smc,pooled,4,789,1.761723700887199,132.59721680071837,0.8948035487959443,42.72271207494436
smc,pooled,5,806,0.7009925558312655,48.89942829522994,0.9218362282878412,99.51234709061006
smc,pooled,6,1110,1.5216216216216216,104.95764061358656,0.8558558558558559,45.331565547419466
smc,pooled,7,826,0.9031476997578692,113.00030486196201,0.9261501210653753,138.53581208806213
smc,pooled,8,1524,4.562992125984252,447.6882892099119,0.8293963254593176,21.501873149896912
smc,pooled,9,1185,1.389029535864979,81.2368416742331,0.8751054852320675,42.1046507679429
smc,pooled,10,946,2.266384778012685,360.6161427441236,0.9059196617336153,70.20658919720431
smc,pooled,11,534,16.49812734082397,2611.7219066055072,0.6891385767790262,9.595279484539935
smc,pooled,12,275,7.509090909090909,768.1190082644628,0.6690909090909091,13.622405009116545
smc,pooled,13,292,4.2465753424657535,528.1309814224056,0.7568493150684932,29.286264308012484
smc,pooled,14,596,3.966442953020134,384.84451150849054,0.7181208053691275,24.461488028263773
smc,pooled,15,312,4.55448717948718,664.1380567882971,0.7788461538461539,32.01690882861431
smc,pooled,16,1010,7.5534653465346535,768.3699137339477,0.7346534653465346,13.467217341861547
smc,pooled,17,671,3.459016393442623,313.25577190882217,0.767511177347243,26.181458800851892
smc,pooled,18,1038,8.275529865125241,1443.1784185535398,0.8795761078998073,21.07309888721894
smc,pooled,19,779,2.3684210526315788,322.80778325788793,0.9358151476251605,57.54746160794941
smc,pooled,20,796,1.2814070351758795,235.26503118608116,0.9623115577889447,143.27920799692424
smc,pooled,21,1100,1.949090909090909,239.69377190082645,0.8845454545454545,63.09465324961017
