cohort,matching,gene,tier,tier_expectation,granularity_rung,labeling_axis,n_patients,baseline_cp10k_normal,cp10k_tumour,rel_change_median,n_tumour_mature_median,label_selects_nothing,degenerate_stratum,frac_patients_tumour_exact_zero,frac_patients_normal_exact_zero
GSE132465,unmatched,CA7,A,compositional,best4,opposite_lineage,10,16.98321454042044,0.0,-1.0,0.0,False,True,0.9,0.1
GSE132465,unmatched,CA7,A,compositional,best4,stem_pole,10,16.98321454042044,0.0,-1.0,0.0,False,True,0.9,0.1
GSE132465,unmatched,CA7,A,compositional,crypt_position,opposite_lineage,10,1.6592182964134783,0.0,-1.0,129.5,False,False,0.6,0.3
GSE132465,unmatched,CA7,A,compositional,crypt_position,stem_pole,10,2.955366123762607,0.0,-1.0,242.0,False,False,0.7,0.1
GSE132465,unmatched,CA7,A,compositional,epithelial,opposite_lineage,10,2.495630866633216,0.0008049630631046661,-0.9999509549102022,383.5,True,False,0.4,0.1
GSE132465,unmatched,CA7,A,compositional,epithelial,stem_pole,10,2.495630866633216,0.0008049630631046661,-0.9999509549102022,383.5,True,False,0.4,0.1
GSE132465,unmatched,CA7,A,compositional,lineage,opposite_lineage,10,2.6622407649140314,0.00024614953209927743,-0.9999772135496947,179.0,False,False,0.5,0.2
GSE132465,unmatched,CA7,A,compositional,lineage,stem_pole,10,2.955366123762607,0.0,-1.0,242.0,False,False,0.7,0.1
GSE132465,unmatched,GUCA2A,A,compositional,best4,opposite_lineage,10,132.32384462008747,0.0,-1.0,0.0,False,True,1.0,0.1
GSE132465,unmatched,GUCA2A,A,compositional,best4,stem_pole,10,132.32384462008747,0.0,-1.0,0.0,False,True,1.0,0.1
GSE132465,unmatched,GUCA2A,A,compositional,crypt_position,opposite_lineage,10,18.070182658954693,0.009096789205935,-0.9980151030751523,129.5,False,False,0.2,0.1
GSE132465,unmatched,GUCA2A,A,compositional,crypt_position,stem_pole,10,33.86789731831315,0.04918661386327741,-0.9975583334388576,242.0,False,False,0.1,0.0
GSE132465,unmatched,GUCA2A,A,compositional,epithelial,opposite_lineage,10,27.29137692659029,0.045989612222198044,-0.9982153976606989,383.5,True,False,0.1,0.0
GSE132465,unmatched,GUCA2A,A,compositional,epithelial,stem_pole,10,27.29137692659029,0.045989612222198044,-0.9982153976606989,383.5,True,False,0.1,0.0
